epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.8312,1.87092,2.7104,1.37644,0.53659,0.42741,0.41359,0.16662,0.19992,1.74735,1.97067,1.37648,0.000413773,0.000413773,0.000413773
2,149.011,1.74621,1.72879,1.30742,0.63623,0.525,0.55595,0.2305,0.27623,1.63434,1.6313,1.33644,0.000825872,0.000825872,0.000825872
3,223.887,1.7008,1.59323,1.32214,0.58454,0.51181,0.52282,0.21049,0.2573,1.70969,1.74561,1.38387,0.00123339,0.00123339,0.00123339
4,299.126,1.69846,1.53064,1.3061,0.69009,0.46124,0.52837,0.22268,0.26056,1.70891,1.61171,1.37454,0.00122937,0.00122937,0.00122937
5,373.908,1.67881,1.47128,1.31079,0.6959,0.52868,0.59981,0.27906,0.30694,1.63504,1.47209,1.35213,0.0012225,0.0012225,0.0012225
6,447.635,1.63533,1.38042,1.29008,0.62208,0.51335,0.54511,0.2579,0.28279,1.62754,1.53821,1.34891,0.00121563,0.00121563,0.00121563
7,522.224,1.63874,1.3524,1.28856,0.62639,0.56796,0.59535,0.28267,0.31001,1.61764,1.55398,1.33555,0.00120875,0.00120875,0.00120875
8,596.302,1.62252,1.32204,1.2775,0.69425,0.59462,0.6451,0.29882,0.33064,1.6418,1.31512,1.32333,0.00120188,0.00120188,0.00120188
9,668.424,1.6105,1.30033,1.27566,0.69376,0.55994,0.61357,0.27198,0.30907,1.70826,1.3575,1.39784,0.001195,0.001195,0.001195
10,742.008,1.60685,1.27421,1.27502,0.70596,0.60447,0.66274,0.33636,0.35143,1.59062,1.26408,1.31622,0.00118812,0.00118812,0.00118812
11,816.219,1.6029,1.25852,1.26628,0.74177,0.58474,0.67086,0.35349,0.36294,1.55353,1.24945,1.31171,0.00118125,0.00118125,0.00118125
12,889.178,1.59622,1.24116,1.267,0.71957,0.60335,0.66262,0.3197,0.34678,1.59421,1.3015,1.30952,0.00117438,0.00117438,0.00117438
13,964.362,1.59057,1.21992,1.25531,0.68978,0.57982,0.63234,0.31702,0.33465,1.59167,1.36506,1.3235,0.0011675,0.0011675,0.0011675
14,1038.52,1.57961,1.21911,1.25793,0.73561,0.60986,0.67921,0.33884,0.35621,1.56398,1.23644,1.29819,0.00116062,0.00116062,0.00116062
15,1114.17,1.56613,1.18765,1.2585,0.72744,0.62345,0.68217,0.36309,0.36918,1.56621,1.20297,1.30978,0.00115375,0.00115375,0.00115375
16,1188.23,1.56431,1.16564,1.248,0.73973,0.62411,0.69061,0.35134,0.36799,1.56207,1.208,1.30247,0.00114688,0.00114688,0.00114688
17,1262.55,1.54974,1.16198,1.24056,0.74894,0.61208,0.69185,0.36672,0.37356,1.54133,1.21962,1.29801,0.00114,0.00114,0.00114
18,1336.78,1.54204,1.16491,1.23278,0.74418,0.62479,0.70112,0.3695,0.37958,1.55312,1.17811,1.3006,0.00113313,0.00113313,0.00113313
19,1409.38,1.55599,1.14207,1.24144,0.74073,0.6072,0.67291,0.34195,0.35631,1.61152,1.34887,1.31967,0.00112625,0.00112625,0.00112625
20,1483.57,1.53352,1.11831,1.22745,0.71921,0.58874,0.66713,0.34992,0.36027,1.57681,1.26631,1.3168,0.00111938,0.00111938,0.00111938
21,1557.19,1.52552,1.11873,1.23166,0.72299,0.65917,0.70742,0.38278,0.38529,1.57996,1.0886,1.3283,0.0011125,0.0011125,0.0011125
22,1629.76,1.51157,1.08022,1.228,0.74951,0.6512,0.72079,0.40267,0.39722,1.54497,1.10483,1.29114,0.00110563,0.00110563,0.00110563
23,1704.63,1.5217,1.09391,1.22692,0.7415,0.63264,0.70173,0.3693,0.37779,1.57014,1.12076,1.3125,0.00109875,0.00109875,0.00109875
24,1778.49,1.51648,1.07766,1.22018,0.72623,0.59127,0.65574,0.33859,0.35105,1.5954,1.23135,1.31408,0.00109188,0.00109188,0.00109188
25,1853.33,1.51819,1.06683,1.21804,0.71043,0.54216,0.60515,0.3247,0.3281,1.61111,1.36134,1.34687,0.001085,0.001085,0.001085
26,1928.29,1.51543,1.06119,1.22394,0.76858,0.66154,0.74445,0.41206,0.41058,1.53031,1.05068,1.2914,0.00107813,0.00107813,0.00107813
27,2001.86,1.50363,1.0663,1.21779,0.75109,0.63198,0.71039,0.40828,0.39696,1.51814,1.11043,1.28328,0.00107125,0.00107125,0.00107125
28,2076.34,1.50117,1.05082,1.21355,0.75405,0.62636,0.70628,0.37321,0.38391,1.58736,1.1515,1.3172,0.00106437,0.00106437,0.00106437
29,2153.37,1.50433,1.04714,1.21882,0.74277,0.63728,0.70741,0.37855,0.38669,1.59701,1.12819,1.32407,0.0010575,0.0010575,0.0010575
30,2227.85,1.5062,1.04233,1.21076,0.74979,0.621,0.6978,0.36487,0.37831,1.57092,1.14188,1.31124,0.00105063,0.00105063,0.00105063
31,2302.72,1.48371,1.03282,1.19614,0.7294,0.60891,0.67465,0.37243,0.37104,1.55861,1.20208,1.30654,0.00104375,0.00104375,0.00104375
32,2380.18,1.48912,1.03925,1.20327,0.7481,0.62792,0.70409,0.38972,0.38831,1.56116,1.13356,1.311,0.00103687,0.00103687,0.00103687
33,2456.91,1.48028,1.02791,1.20465,0.76918,0.65216,0.74105,0.41841,0.41117,1.51491,1.04939,1.27098,0.00103,0.00103,0.00103
34,2533.69,1.47923,1.01885,1.20053,0.76626,0.63139,0.70216,0.36552,0.3774,1.6336,1.07754,1.35551,0.00102312,0.00102312,0.00102312
35,2608.31,1.4747,1.00887,1.2014,0.74353,0.6529,0.72336,0.38479,0.39183,1.60746,1.06274,1.33286,0.00101625,0.00101625,0.00101625
36,2682.49,1.47436,1.00272,1.20932,0.75458,0.68898,0.74826,0.42503,0.41461,1.51305,1.04072,1.2744,0.00100938,0.00100938,0.00100938
37,2757,1.46643,0.97631,1.2009,0.75393,0.67616,0.74055,0.42315,0.41228,1.52827,1.04876,1.29436,0.0010025,0.0010025,0.0010025
38,2832.25,1.46166,0.97974,1.19715,0.76425,0.67545,0.73787,0.41532,0.41078,1.5263,1.0278,1.29542,0.000995625,0.000995625,0.000995625
