epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.8322,5.13843,5.14494,4.2292,3e-05,0.0004,2e-05,0,0,5.22981,5.03695,4.15311,0.00331019,0.00331019,0.00331019
2,90.0596,4.95452,4.88742,4.18281,0.00914,0.01909,0.00185,0.00027,0.00059,4.85502,6.62701,4.80601,0.00662159,0.00662159,0.00662159
3,134.568,3.50916,3.80719,3.07934,0.55778,0.07417,0.03814,0.00537,0.01336,2.83933,6.83568,2.43918,0.009911,0.009911,0.009911
4,178.987,2.63476,2.90031,2.11947,0.37835,0.13914,0.11209,0.02555,0.04547,2.44377,3.49102,1.97151,0.009901,0.009901,0.009901
5,222.615,2.41069,2.59858,1.88421,0.68471,0.15626,0.15102,0.04625,0.06657,2.22361,2.62161,1.79894,0.009868,0.009868,0.009868
6,266.254,2.29238,2.40256,1.76849,0.71691,0.15431,0.16397,0.04721,0.06986,2.18204,2.4973,1.75635,0.009835,0.009835,0.009835
7,309.629,2.22578,2.34852,1.71957,0.28845,0.17331,0.16827,0.05571,0.07561,2.11561,2.32227,1.7135,0.009802,0.009802,0.009802
8,352.758,2.17657,2.26201,1.6786,0.55126,0.18419,0.1926,0.06111,0.08599,2.10005,2.34335,1.70772,0.009769,0.009769,0.009769
9,395.991,2.13911,2.23971,1.66375,0.27108,0.2138,0.19659,0.05716,0.08614,2.09565,2.25485,1.70437,0.009736,0.009736,0.009736
10,439.185,2.11003,2.13233,1.63339,0.29761,0.23668,0.22027,0.07283,0.09923,2.02562,2.15643,1.64884,0.009703,0.009703,0.009703
11,482.48,2.07532,2.07372,1.60492,0.67836,0.20989,0.23779,0.07327,0.10446,2.03626,2.32864,1.67413,0.00967,0.00967,0.00967
12,525.805,2.04866,2.03386,1.58659,0.59808,0.28905,0.28837,0.09421,0.13003,1.98415,1.96696,1.61891,0.009637,0.009637,0.009637
13,569.191,2.02585,1.95262,1.56968,0.41535,0.32451,0.31817,0.10092,0.14163,1.9701,1.88477,1.61491,0.009604,0.009604,0.009604
14,612.897,2.00681,1.89238,1.55469,0.41927,0.33342,0.32996,0.10595,0.14994,1.91609,1.83201,1.56173,0.009571,0.009571,0.009571
15,656.239,1.97224,1.86229,1.53894,0.52154,0.32859,0.32071,0.11234,0.14929,1.91176,1.85668,1.57908,0.009538,0.009538,0.009538
16,699.929,1.95769,1.82839,1.52774,0.41056,0.37306,0.34695,0.11795,0.1584,1.91453,1.81014,1.57047,0.009505,0.009505,0.009505
17,742.948,1.92491,1.78039,1.50384,0.52971,0.3528,0.38123,0.12364,0.17207,1.86082,1.80667,1.52563,0.009472,0.009472,0.009472
18,786.151,1.91688,1.74266,1.49309,0.52078,0.36537,0.3943,0.1332,0.17916,1.84977,1.82586,1.51641,0.009439,0.009439,0.009439
19,829.359,1.90335,1.74484,1.50425,0.50779,0.39425,0.40066,0.14,0.18399,1.8307,1.70747,1.51479,0.009406,0.009406,0.009406
20,872.609,1.88929,1.70534,1.47979,0.535,0.40103,0.41342,0.14643,0.18978,1.82845,1.66425,1.50721,0.009373,0.009373,0.009373
21,915.713,1.87196,1.68836,1.47688,0.56045,0.37783,0.42213,0.1558,0.19815,1.8193,1.71553,1.49335,0.00934,0.00934,0.00934
22,959.549,1.87004,1.6435,1.46299,0.49212,0.41839,0.41333,0.1521,0.19539,1.79119,1.66729,1.48077,0.009307,0.009307,0.009307
23,1002.76,1.85438,1.64043,1.4592,0.50315,0.37324,0.38189,0.14765,0.18476,1.81752,1.79538,1.51254,0.009274,0.009274,0.009274
24,1045.99,1.85367,1.64597,1.46111,0.60735,0.41869,0.45359,0.16588,0.2138,1.76866,1.69596,1.46006,0.009241,0.009241,0.009241
25,1089.35,1.83524,1.61972,1.4448,0.54472,0.4503,0.46143,0.16743,0.21724,1.77097,1.59909,1.4734,0.009208,0.009208,0.009208
26,1132.5,1.82004,1.60896,1.44094,0.65059,0.4223,0.46708,0.17804,0.2228,1.75533,1.58212,1.44794,0.009175,0.009175,0.009175
27,1175.89,1.81667,1.58736,1.42439,0.51699,0.46901,0.47594,0.17569,0.22614,1.74573,1.5494,1.44343,0.009142,0.009142,0.009142
