epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.396,1.89692,3.04302,1.41763,0.46329,0.36485,0.38367,0.15029,0.18487,1.78844,2.14852,1.42572,0.00331019,0.00331019,0.00331019
2,85.5791,1.76358,1.86185,1.34737,0.59802,0.45098,0.49217,0.20802,0.24407,1.72735,1.84874,1.40358,0.00662159,0.00662159,0.00662159
3,126.562,1.76571,1.74054,1.35721,0.56807,0.43876,0.46004,0.1927,0.22821,1.72774,2.14489,1.36996,0.009911,0.009911,0.009911
4,167.406,1.75605,1.66106,1.32949,0.53845,0.35152,0.37314,0.14301,0.17635,1.97303,2.05682,1.57187,0.009901,0.009901,0.009901
5,208.333,1.73661,1.58513,1.31844,0.66584,0.46426,0.51259,0.21869,0.25275,1.74138,1.67427,1.37864,0.009868,0.009868,0.009868
6,249.076,1.70516,1.49311,1.30489,0.63895,0.52376,0.54599,0.21503,0.26084,1.75379,1.81371,1.38392,0.009835,0.009835,0.009835
7,289.516,1.68692,1.46349,1.29775,0.64912,0.48003,0.5295,0.22956,0.26297,1.70366,1.63168,1.37596,0.009802,0.009802,0.009802
8,329.669,1.67009,1.41872,1.28968,0.70089,0.52084,0.58129,0.26931,0.29696,1.68454,1.46963,1.32937,0.009769,0.009769,0.009769
9,370.281,1.66432,1.39998,1.28845,0.64005,0.4753,0.51738,0.22133,0.25257,1.7795,1.58185,1.38739,0.009736,0.009736,0.009736
10,410.27,1.65748,1.35493,1.28511,0.66785,0.51915,0.57376,0.26406,0.2934,1.66999,1.51823,1.3357,0.009703,0.009703,0.009703
11,450.293,1.63757,1.32649,1.27133,0.72685,0.5855,0.65295,0.32134,0.34301,1.60267,1.28347,1.3031,0.00967,0.00967,0.00967
12,490.54,1.63219,1.3146,1.26741,0.6708,0.54319,0.58295,0.275,0.30094,1.64967,1.38904,1.32634,0.009637,0.009637,0.009637
13,530.909,1.61566,1.28271,1.25914,0.69269,0.56173,0.61138,0.28284,0.31179,1.64775,1.3368,1.33773,0.009604,0.009604,0.009604
14,571.172,1.62593,1.27448,1.26286,0.67268,0.46084,0.51376,0.23903,0.26456,1.72725,1.60755,1.38721,0.009571,0.009571,0.009571
15,611.043,1.61193,1.2672,1.2631,0.71377,0.60401,0.65736,0.3455,0.3518,1.57693,1.25701,1.29275,0.009538,0.009538,0.009538
16,650.989,1.60887,1.24508,1.25838,0.66541,0.49243,0.52525,0.23536,0.26599,1.74869,1.54721,1.41247,0.009505,0.009505,0.009505
17,691.33,1.59604,1.22921,1.25395,0.7469,0.58289,0.65213,0.31737,0.34088,1.60764,1.25682,1.32269,0.009472,0.009472,0.009472
18,732.189,1.58895,1.21374,1.24755,0.71975,0.58793,0.64872,0.33278,0.34569,1.58823,1.28586,1.30347,0.009439,0.009439,0.009439
19,772.571,1.58451,1.20648,1.25289,0.74224,0.6236,0.67555,0.3457,0.35988,1.56785,1.17973,1.29443,0.009406,0.009406,0.009406
20,812.772,1.57095,1.18083,1.23921,0.73697,0.60737,0.66737,0.32564,0.34913,1.62266,1.23285,1.31769,0.009373,0.009373,0.009373
21,852.793,1.57979,1.17288,1.24597,0.71564,0.5358,0.59545,0.27145,0.30373,1.69287,1.32629,1.35471,0.00934,0.00934,0.00934
22,892.667,1.5737,1.16361,1.23917,0.714,0.58402,0.64593,0.31835,0.33929,1.64798,1.2543,1.33922,0.009307,0.009307,0.009307
23,932.651,1.56574,1.14509,1.24098,0.75358,0.60822,0.68663,0.36329,0.37116,1.55723,1.16363,1.29079,0.009274,0.009274,0.009274
24,972.879,1.56517,1.14931,1.23727,0.73773,0.61003,0.67068,0.3489,0.35763,1.58231,1.26101,1.29997,0.009241,0.009241,0.009241
25,1013.38,1.55596,1.13902,1.23789,0.71421,0.6081,0.65785,0.34483,0.35311,1.58929,1.20287,1.31417,0.009208,0.009208,0.009208
