epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1439,1.90939,3.14305,1.42438,0.69301,0.32645,0.34634,0.1434,0.16846,1.86119,2.25815,1.46103,0.00331019,0.00331019,0.00331019
2,85.4205,1.77553,1.88277,1.34427,0.57902,0.50212,0.50245,0.20769,0.2435,1.70812,1.83022,1.36932,0.00662159,0.00662159,0.00662159
3,127.343,1.76991,1.75412,1.35577,0.53079,0.38473,0.40287,0.15357,0.19062,1.89695,2.10899,1.47127,0.009911,0.009911,0.009911
4,169.884,1.76014,1.69622,1.33683,0.49204,0.45318,0.42562,0.1636,0.20213,1.76256,2.18101,1.40156,0.009901,0.009901,0.009901
5,211.107,1.73889,1.59376,1.33483,0.60407,0.40449,0.43282,0.14558,0.19664,1.9218,1.92258,1.49673,0.009868,0.009868,0.009868
6,252.632,1.71268,1.5045,1.32586,0.65236,0.4992,0.53203,0.22109,0.25978,1.74264,1.60735,1.40553,0.009835,0.009835,0.009835
7,293.835,1.69186,1.47137,1.31382,0.69121,0.50782,0.55823,0.26399,0.28685,1.68135,1.50852,1.37898,0.009802,0.009802,0.009802
8,335.642,1.67602,1.41174,1.31247,0.67527,0.53204,0.58717,0.26584,0.29754,1.67842,1.46434,1.35861,0.009769,0.009769,0.009769
9,377.107,1.66883,1.40322,1.3136,0.64732,0.45607,0.50483,0.21313,0.25117,1.76231,1.64585,1.41836,0.009736,0.009736,0.009736
10,418.545,1.66387,1.36687,1.3065,0.67419,0.48508,0.54483,0.27293,0.28409,1.68702,1.51563,1.39205,0.009703,0.009703,0.009703
11,459.745,1.64812,1.32949,1.29531,0.6819,0.52713,0.57753,0.26296,0.29315,1.69949,1.44979,1.37307,0.00967,0.00967,0.00967
12,501.103,1.63784,1.32165,1.29353,0.67485,0.5313,0.58356,0.26416,0.295,1.67544,1.43073,1.35906,0.009637,0.009637,0.009637
13,541.858,1.62924,1.30001,1.29134,0.72488,0.53947,0.60339,0.28285,0.31006,1.6569,1.37222,1.36443,0.009604,0.009604,0.009604
14,582.311,1.63031,1.27972,1.28789,0.71056,0.6041,0.65359,0.32735,0.34706,1.58718,1.24637,1.32202,0.009571,0.009571,0.009571
15,622.986,1.62631,1.27433,1.2891,0.69377,0.57467,0.62288,0.29941,0.32312,1.61879,1.33484,1.34024,0.009538,0.009538,0.009538
16,663.753,1.61244,1.24863,1.2827,0.69443,0.55374,0.60421,0.27193,0.3079,1.66591,1.34844,1.38609,0.009505,0.009505,0.009505
17,704.557,1.60622,1.23157,1.27818,0.73039,0.60173,0.65729,0.32379,0.34519,1.57324,1.30683,1.31286,0.009472,0.009472,0.009472
18,745.251,1.59155,1.21081,1.26646,0.7126,0.59097,0.654,0.32714,0.34642,1.58987,1.2531,1.32598,0.009439,0.009439,0.009439
19,786.055,1.58674,1.20933,1.27601,0.69052,0.56528,0.60465,0.29016,0.3118,1.65215,1.39792,1.373,0.009406,0.009406,0.009406
20,827.186,1.58155,1.18955,1.2642,0.73745,0.60165,0.65915,0.33994,0.3515,1.61731,1.18247,1.3662,0.009373,0.009373,0.009373
21,868.24,1.57539,1.16315,1.26777,0.74363,0.59111,0.67147,0.33896,0.35433,1.58916,1.23994,1.33612,0.00934,0.00934,0.00934
22,909.19,1.58014,1.16652,1.26181,0.72611,0.60962,0.67036,0.33995,0.35604,1.60466,1.16327,1.34388,0.009307,0.009307,0.009307
23,950.288,1.57074,1.14637,1.26397,0.74289,0.60439,0.66695,0.34974,0.35822,1.5681,1.17304,1.32001,0.009274,0.009274,0.009274
24,991.943,1.57268,1.15275,1.26089,0.71925,0.60138,0.66506,0.33363,0.35078,1.6195,1.16417,1.3455,0.009241,0.009241,0.009241
25,1033.34,1.55237,1.12499,1.2543,0.74664,0.60873,0.68664,0.35982,0.36937,1.58248,1.15966,1.32208,0.009208,0.009208,0.009208
26,1074.3,1.55517,1.11322,1.24912,0.6984,0.6453,0.68187,0.34613,0.36213,1.59259,1.14449,1.34117,0.009175,0.009175,0.009175
27,1115.54,1.55601,1.11533,1.24279,0.73204,0.60261,0.66273,0.34544,0.35517,1.62772,1.2141,1.36138,0.009142,0.009142,0.009142
28,1156.91,1.54554,1.1136,1.23689,0.76354,0.6475,0.72091,0.39059,0.39306,1.54422,1.09151,1.30802,0.009109,0.009109,0.009109
29,1198.45,1.55078,1.10244,1.24805,0.76155,0.6334,0.70048,0.37948,0.38516,1.53773,1.1185,1.29792,0.009076,0.009076,0.009076
30,1240.01,1.53829,1.09085,1.23415,0.74882,0.61368,0.68294,0.35465,0.36509,1.59945,1.14939,1.33458,0.009043,0.009043,0.009043
31,1281.81,1.537,1.08336,1.2284,0.74537,0.63646,0.68842,0.35982,0.36583,1.60222,1.14697,1.34396,0.00901,0.00901,0.00901
32,1323.55,1.54056,1.06542,1.23576,0.72317,0.63048,0.69081,0.38779,0.37981,1.55384,1.1182,1.31148,0.008977,0.008977,0.008977
33,1364.68,1.52793,1.06863,1.23004,0.74697,0.67006,0.72294,0.3859,0.39493,1.54982,1.07148,1.30796,0.008944,0.008944,0.008944
34,1405.86,1.53192,1.05162,1.23025,0.78443,0.64466,0.71851,0.37283,0.38568,1.55639,1.08899,1.31148,0.008911,0.008911,0.008911
35,1447.07,1.51145,1.04843,1.22561,0.76865,0.64407,0.71165,0.36213,0.37746,1.60468,1.09621,1.3363,0.008878,0.008878,0.008878
36,1488.53,1.51656,1.05467,1.23135,0.74889,0.66027,0.72039,0.38795,0.39241,1.53227,1.07356,1.29524,0.008845,0.008845,0.008845
37,1529.44,1.50918,1.03326,1.22556,0.75144,0.6792,0.73642,0.40056,0.40011,1.56342,1.05471,1.30654,0.008812,0.008812,0.008812
38,1570.61,1.50606,1.02884,1.22593,0.76049,0.62726,0.69622,0.37438,0.37609,1.59812,1.10351,1.32749,0.008779,0.008779,0.008779
39,1611.77,1.49846,1.01829,1.22341,0.74469,0.66005,0.72337,0.39251,0.39602,1.56102,1.07548,1.3154,0.008746,0.008746,0.008746
40,1652.8,1.50315,1.00714,1.22815,0.74852,0.65935,0.71098,0.36308,0.38076,1.57787,1.06785,1.32129,0.008713,0.008713,0.008713
41,1693.8,1.49057,1.00309,1.22413,0.7613,0.64531,0.71765,0.38195,0.39038,1.5878,1.0868,1.31841,0.00868,0.00868,0.00868
42,1734.43,1.49084,0.99605,1.22127,0.74451,0.61655,0.6869,0.367,0.37339,1.6106,1.15949,1.34129,0.008647,0.008647,0.008647
43,1775.19,1.49502,1.01484,1.21526,0.77526,0.63779,0.71845,0.40168,0.39498,1.56577,1.07378,1.3194,0.008614,0.008614,0.008614
44,1816.38,1.48155,0.98878,1.21229,0.76542,0.66007,0.72555,0.39959,0.3974,1.56764,1.03887,1.3281,0.008581,0.008581,0.008581
45,1856.97,1.47296,0.97997,1.20994,0.77602,0.6717,0.73186,0.42235,0.40887,1.53193,1.0061,1.29343,0.008548,0.008548,0.008548
46,1897.58,1.48315,0.98674,1.21465,0.76102,0.65617,0.7261,0.40921,0.4043,1.54461,1.04748,1.30269,0.008515,0.008515,0.008515
47,1938.52,1.47532,0.9667,1.19956,0.75749,0.67183,0.73016,0.39531,0.39772,1.58093,1.01138,1.3307,0.008482,0.008482,0.008482
48,1979.35,1.46829,0.97416,1.21305,0.75939,0.66433,0.73241,0.4102,0.40436,1.54697,1.00308,1.30591,0.008449,0.008449,0.008449
49,2020.09,1.46973,0.96867,1.21353,0.776,0.67498,0.73878,0.41738,0.40949,1.5323,1.00439,1.29991,0.008416,0.008416,0.008416
50,2061.12,1.45569,0.94642,1.20362,0.77232,0.66949,0.74236,0.42122,0.41327,1.53262,0.99341,1.29262,0.008383,0.008383,0.008383
51,2101.9,1.46628,0.95612,1.20478,0.75824,0.63945,0.70548,0.3897,0.3895,1.54847,1.04916,1.30515,0.00835,0.00835,0.00835
52,2142.48,1.45097,0.94736,1.20502,0.77056,0.66644,0.7282,0.40365,0.40136,1.56033,1.02697,1.31035,0.008317,0.008317,0.008317
53,2183.62,1.45892,0.94741,1.20169,0.77272,0.67197,0.73599,0.41148,0.4074,1.57703,0.97966,1.34003,0.008284,0.008284,0.008284
54,2224.83,1.44341,0.93548,1.19811,0.75721,0.63871,0.69884,0.37984,0.38136,1.57519,1.0897,1.31098,0.008251,0.008251,0.008251
55,2266.11,1.45531,0.93557,1.19178,0.77616,0.67724,0.74436,0.41566,0.41297,1.54332,0.98265,1.31627,0.008218,0.008218,0.008218
56,2306.83,1.44678,0.93521,1.1969,0.78749,0.67474,0.747,0.43246,0.41837,1.52836,0.96722,1.30648,0.008185,0.008185,0.008185
57,2347.5,1.42585,0.91928,1.19439,0.77937,0.67268,0.7411,0.40724,0.40713,1.55804,0.98195,1.31627,0.008152,0.008152,0.008152
58,2389,1.42253,0.91281,1.18307,0.77871,0.67665,0.74313,0.4113,0.41021,1.546,0.98213,1.30422,0.008119,0.008119,0.008119
59,2430.09,1.4322,0.91074,1.19038,0.78167,0.69193,0.75807,0.43251,0.42274,1.53442,0.94899,1.30517,0.008086,0.008086,0.008086
60,2470.6,1.4204,0.90212,1.18328,0.78046,0.68877,0.75242,0.41566,0.41563,1.54769,0.96735,1.3224,0.008053,0.008053,0.008053
61,2512.04,1.42343,0.90658,1.18512,0.77643,0.68193,0.75012,0.43133,0.41934,1.54151,0.96269,1.32288,0.00802,0.00802,0.00802
62,2552.58,1.42387,0.90155,1.17967,0.76095,0.69967,0.75425,0.42594,0.42118,1.52957,0.9588,1.30055,0.007987,0.007987,0.007987
63,2593.15,1.41999,0.89291,1.18788,0.77473,0.67066,0.74276,0.41521,0.40954,1.56653,0.99585,1.32628,0.007954,0.007954,0.007954
64,2633.87,1.40365,0.88215,1.18313,0.78179,0.69039,0.75757,0.44309,0.42628,1.51629,0.95424,1.28886,0.007921,0.007921,0.007921
65,2675.03,1.40947,0.88737,1.18928,0.79644,0.68119,0.75987,0.4399,0.42828,1.52844,0.93926,1.31056,0.007888,0.007888,0.007888
66,2715.98,1.40187,0.87323,1.17651,0.77041,0.69894,0.75791,0.42464,0.42233,1.54546,0.93393,1.31895,0.007855,0.007855,0.007855
67,2756.65,1.39904,0.86948,1.17229,0.79349,0.68461,0.75386,0.44132,0.42377,1.51905,0.9494,1.30107,0.007822,0.007822,0.007822
68,2797.32,1.40065,0.86607,1.17091,0.77719,0.69801,0.76476,0.43153,0.42653,1.53098,0.93015,1.30748,0.007789,0.007789,0.007789
69,2838.95,1.38439,0.86005,1.16308,0.77045,0.69832,0.75812,0.43357,0.42224,1.5318,0.95188,1.30728,0.007756,0.007756,0.007756
70,2881.26,1.40331,0.87824,1.17637,0.78513,0.68045,0.75219,0.4304,0.42227,1.52105,0.93885,1.30257,0.007723,0.007723,0.007723
71,2922.8,1.37883,0.84768,1.16883,0.78143,0.69662,0.76161,0.44116,0.42782,1.53012,0.92587,1.30472,0.00769,0.00769,0.00769
72,2964.94,1.38893,0.85431,1.16492,0.77713,0.70829,0.76909,0.43648,0.42979,1.54226,0.92468,1.31666,0.007657,0.007657,0.007657
73,3006.1,1.38687,0.8473,1.16753,0.78321,0.70074,0.76212,0.45028,0.43267,1.51865,0.93188,1.28652,0.007624,0.007624,0.007624
74,3047.29,1.3895,0.85228,1.17177,0.78668,0.69587,0.76715,0.44231,0.43323,1.52095,0.91913,1.29395,0.007591,0.007591,0.007591
75,3089.4,1.38678,0.84982,1.16588,0.7911,0.69134,0.76712,0.43625,0.42884,1.52525,0.91685,1.29864,0.007558,0.007558,0.007558
76,3131.08,1.3678,0.83168,1.16169,0.7758,0.71846,0.77209,0.44022,0.43206,1.53595,0.90608,1.31821,0.007525,0.007525,0.007525
77,3174.33,1.35948,0.82051,1.15858,0.79197,0.70602,0.77153,0.44318,0.42982,1.53207,0.91344,1.31415,0.007492,0.007492,0.007492
78,3217.26,1.36714,0.82889,1.15727,0.80131,0.68412,0.76264,0.43822,0.42574,1.53852,0.92577,1.31256,0.007459,0.007459,0.007459
