epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.6054,1.89256,2.99946,1.42559,0.56513,0.38077,0.39986,0.15248,0.19098,1.79769,2.03096,1.41834,0.00331019,0.00331019,0.00331019
2,77.0841,1.78442,1.85968,1.35222,0.54572,0.42596,0.43358,0.17105,0.20695,1.83397,2.04736,1.46778,0.00662159,0.00662159,0.00662159
3,115.371,1.77829,1.74746,1.35073,0.5301,0.25295,0.26818,0.08167,0.11911,2.12315,2.44613,1.66427,0.009911,0.009911,0.009911
4,152.85,1.76849,1.69999,1.3338,0.52712,0.41852,0.42281,0.15684,0.19713,1.824,1.97267,1.49528,0.009901,0.009901,0.009901
5,190.88,1.73946,1.60263,1.33373,0.48612,0.33176,0.33938,0.11551,0.15447,2.09414,2.20191,1.68561,0.009868,0.009868,0.009868
6,228.929,1.71767,1.50681,1.32575,0.60621,0.46983,0.48776,0.19606,0.23615,1.78647,1.69274,1.44988,0.009835,0.009835,0.009835
7,266.912,1.69239,1.47964,1.31345,0.68065,0.53087,0.57865,0.25558,0.28942,1.6463,1.54888,1.34687,0.009802,0.009802,0.009802
8,304.698,1.68192,1.42331,1.30467,0.63434,0.5249,0.54525,0.24891,0.2779,1.67427,1.52715,1.34869,0.009769,0.009769,0.009769
9,341.908,1.67381,1.40242,1.3083,0.68899,0.52645,0.58621,0.27547,0.30074,1.66664,1.46472,1.34712,0.009736,0.009736,0.009736
10,378.992,1.65699,1.35576,1.29622,0.66838,0.54072,0.58008,0.24851,0.28907,1.69506,1.52897,1.36797,0.009703,0.009703,0.009703
11,417.166,1.64425,1.33462,1.28727,0.68612,0.57718,0.62697,0.29769,0.32135,1.6544,1.36576,1.35269,0.00967,0.00967,0.00967
12,454.443,1.63546,1.32527,1.28454,0.66828,0.58478,0.61834,0.28086,0.31102,1.64305,1.46318,1.35008,0.009637,0.009637,0.009637
13,492.378,1.62524,1.29086,1.27582,0.71622,0.59796,0.64855,0.31733,0.33768,1.62105,1.28079,1.32344,0.009604,0.009604,0.009604
14,529.855,1.63159,1.28463,1.27719,0.71591,0.59795,0.64804,0.31742,0.33733,1.5968,1.29035,1.32425,0.009571,0.009571,0.009571
15,567.421,1.62057,1.28231,1.27332,0.72274,0.59295,0.66321,0.33885,0.35206,1.58761,1.29015,1.31104,0.009538,0.009538,0.009538
16,604.709,1.60932,1.262,1.26691,0.71982,0.59119,0.6514,0.29897,0.33135,1.62056,1.35625,1.32952,0.009505,0.009505,0.009505
17,641.711,1.60059,1.2332,1.26341,0.73855,0.58845,0.64935,0.32963,0.34303,1.60628,1.24427,1.32975,0.009472,0.009472,0.009472
18,678.935,1.59023,1.20912,1.25422,0.75584,0.58845,0.6536,0.32635,0.34636,1.59002,1.22306,1.32024,0.009439,0.009439,0.009439
19,716.346,1.57612,1.20286,1.26,0.73342,0.56188,0.63532,0.31234,0.3337,1.59948,1.36184,1.32934,0.009406,0.009406,0.009406
20,753.928,1.5754,1.18876,1.24663,0.6963,0.55822,0.61276,0.29398,0.31491,1.71748,1.33876,1.41134,0.009373,0.009373,0.009373
21,790.773,1.57454,1.17216,1.25026,0.74336,0.59733,0.66774,0.3357,0.3549,1.58595,1.22181,1.30253,0.00934,0.00934,0.00934
22,828.092,1.56988,1.16241,1.2432,0.71529,0.58762,0.63538,0.3096,0.33151,1.69455,1.21485,1.39628,0.009307,0.009307,0.009307
23,865.774,1.5655,1.14954,1.24586,0.73036,0.59349,0.65942,0.34496,0.35633,1.57481,1.23904,1.31857,0.009274,0.009274,0.009274
24,902.733,1.56535,1.1485,1.247,0.72975,0.61268,0.67153,0.35242,0.36253,1.57777,1.20364,1.30635,0.009241,0.009241,0.009241
25,939.9,1.55064,1.13633,1.23958,0.74111,0.62351,0.68902,0.35506,0.36804,1.58039,1.17275,1.31168,0.009208,0.009208,0.009208
26,977.512,1.55426,1.12289,1.23842,0.76413,0.61009,0.69249,0.36431,0.37316,1.58641,1.13952,1.31825,0.009175,0.009175,0.009175
27,1014.25,1.55669,1.11854,1.23465,0.72817,0.54867,0.61364,0.32289,0.32987,1.63512,1.36801,1.35809,0.009142,0.009142,0.009142
