epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7869,1.90184,3.38876,1.34063,0.70726,0.34247,0.35742,0.13349,0.16823,1.83363,2.25899,1.28267,0.00331019,0.00331019,0.00331019
2,68.9457,1.75269,1.94393,1.25192,0.55263,0.50792,0.50196,0.20429,0.24177,1.72193,1.91349,1.32222,0.00662159,0.00662159,0.00662159
3,103.203,1.75462,1.77041,1.27898,0.52524,0.31415,0.33534,0.13526,0.15984,1.93204,2.25762,1.44353,0.009911,0.009911,0.009911
4,136.996,1.7432,1.67641,1.27159,0.59239,0.46435,0.47826,0.18318,0.22568,1.77986,1.85027,1.33137,0.009901,0.009901,0.009901
5,170.498,1.71272,1.60783,1.26561,0.6605,0.47908,0.52246,0.19966,0.24871,1.70701,1.84888,1.33278,0.009868,0.009868,0.009868
6,204.011,1.70557,1.5306,1.26482,0.63797,0.41653,0.44318,0.18588,0.21602,1.81636,1.82583,1.38769,0.009835,0.009835,0.009835
7,237.607,1.67821,1.49135,1.25853,0.5998,0.46237,0.48216,0.20934,0.23916,1.72283,1.90221,1.32981,0.009802,0.009802,0.009802
8,271.132,1.66232,1.43974,1.25124,0.69895,0.56042,0.61593,0.27577,0.30853,1.65027,1.48969,1.27599,0.009769,0.009769,0.009769
9,304.28,1.65479,1.42596,1.24602,0.64,0.51548,0.56753,0.25747,0.28645,1.68606,1.53002,1.27836,0.009736,0.009736,0.009736
10,337.676,1.64724,1.38427,1.24036,0.67429,0.55505,0.60884,0.27714,0.31044,1.63882,1.40683,1.27062,0.009703,0.009703,0.009703
11,371.797,1.63398,1.33949,1.22919,0.70733,0.55292,0.61817,0.29098,0.31595,1.63797,1.37654,1.25904,0.00967,0.00967,0.00967
12,405.109,1.621,1.3293,1.22939,0.69965,0.56621,0.62422,0.28683,0.31829,1.6203,1.40795,1.29682,0.009637,0.009637,0.009637
13,438.939,1.61342,1.30012,1.22281,0.69108,0.60905,0.64079,0.31091,0.33387,1.5987,1.32598,1.24661,0.009604,0.009604,0.009604
14,472.307,1.6154,1.29559,1.21688,0.72588,0.58935,0.64798,0.33225,0.34401,1.55789,1.28858,1.22892,0.009571,0.009571,0.009571
15,506.228,1.61107,1.29769,1.21811,0.70901,0.54935,0.60146,0.29945,0.3136,1.61649,1.39068,1.24773,0.009538,0.009538,0.009538
16,539.594,1.60181,1.26338,1.21529,0.74328,0.56065,0.64289,0.30827,0.33208,1.61676,1.29288,1.27355,0.009505,0.009505,0.009505
17,572.872,1.5882,1.24877,1.20686,0.73111,0.59683,0.65073,0.30659,0.33601,1.60832,1.34047,1.25236,0.009472,0.009472,0.009472
18,606.261,1.57558,1.21821,1.19932,0.70775,0.56921,0.61583,0.31052,0.3238,1.61405,1.3657,1.2789,0.009439,0.009439,0.009439
19,639.419,1.56924,1.20693,1.21053,0.72773,0.60345,0.65819,0.33254,0.34815,1.5671,1.22991,1.23905,0.009406,0.009406,0.009406
20,672.841,1.56974,1.19109,1.19915,0.73237,0.62449,0.67078,0.33946,0.35565,1.56481,1.33521,1.24847,0.009373,0.009373,0.009373
21,705.693,1.56488,1.17018,1.19962,0.72378,0.62152,0.67402,0.33803,0.35475,1.5923,1.23265,1.2522,0.00934,0.00934,0.00934
22,738.606,1.56737,1.1677,1.19669,0.72866,0.60265,0.67591,0.33398,0.35502,1.5932,1.19866,1.24203,0.009307,0.009307,0.009307
23,772.378,1.56163,1.15263,1.19447,0.72564,0.62484,0.68986,0.35885,0.36967,1.54875,1.22111,1.2299,0.009274,0.009274,0.009274
24,805.599,1.55769,1.14366,1.19808,0.73039,0.58468,0.65359,0.35358,0.35191,1.58647,1.26801,1.26095,0.009241,0.009241,0.009241
25,838.802,1.54392,1.13285,1.19601,0.73205,0.61879,0.68221,0.35871,0.36763,1.58737,1.13653,1.25001,0.009208,0.009208,0.009208
26,872.233,1.54434,1.11239,1.19135,0.71786,0.6176,0.67607,0.33392,0.35234,1.64193,1.20976,1.28834,0.009175,0.009175,0.009175
27,905.246,1.55172,1.11624,1.19183,0.74869,0.62396,0.69702,0.36859,0.37749,1.56788,1.16808,1.23412,0.009142,0.009142,0.009142
28,938.94,1.53784,1.11249,1.18463,0.74761,0.61335,0.67898,0.35686,0.3655,1.56312,1.16525,1.23328,0.009109,0.009109,0.009109
29,972.548,1.54582,1.10827,1.19046,0.75399,0.62745,0.6956,0.37063,0.37692,1.56874,1.12883,1.2452,0.009076,0.009076,0.009076
30,1005.92,1.53269,1.0836,1.18065,0.76148,0.64665,0.71619,0.37287,0.3847,1.57854,1.10557,1.26214,0.009043,0.009043,0.009043
31,1039.05,1.53369,1.07954,1.17664,0.75226,0.64832,0.70984,0.3761,0.38312,1.58613,1.10206,1.25774,0.00901,0.00901,0.00901
32,1072.33,1.53176,1.07291,1.18005,0.75616,0.65842,0.72421,0.40201,0.39904,1.51862,1.08373,1.20711,0.008977,0.008977,0.008977
33,1105.78,1.51801,1.06929,1.17398,0.76796,0.65692,0.72345,0.38704,0.39411,1.5434,1.07674,1.23902,0.008944,0.008944,0.008944
34,1139.23,1.5181,1.06482,1.17279,0.73293,0.64815,0.70688,0.36538,0.38142,1.56952,1.11916,1.22315,0.008911,0.008911,0.008911
35,1172.52,1.50171,1.04953,1.17217,0.74574,0.62551,0.6881,0.35891,0.37037,1.58224,1.1239,1.23884,0.008878,0.008878,0.008878
36,1205.66,1.50714,1.06358,1.17708,0.75534,0.6507,0.71625,0.38125,0.38871,1.55975,1.07379,1.2422,0.008845,0.008845,0.008845
37,1238.82,1.50163,1.04813,1.17145,0.7631,0.60546,0.68766,0.35687,0.37064,1.57014,1.16199,1.24079,0.008812,0.008812,0.008812
38,1272.49,1.49073,1.02969,1.16771,0.75018,0.6352,0.70572,0.38411,0.38781,1.54098,1.08507,1.22036,0.008779,0.008779,0.008779
39,1305.68,1.48765,1.01657,1.16949,0.7575,0.65635,0.72673,0.39261,0.39431,1.56096,1.03749,1.24771,0.008746,0.008746,0.008746
40,1338.7,1.49585,1.01891,1.17702,0.74602,0.64816,0.71253,0.39292,0.38962,1.55891,1.07676,1.24808,0.008713,0.008713,0.008713
41,1371.65,1.48512,1.0053,1.17193,0.76934,0.63987,0.71151,0.39769,0.39389,1.54375,1.08238,1.23354,0.00868,0.00868,0.00868
42,1404.77,1.47607,0.9995,1.16337,0.72648,0.62187,0.67961,0.36811,0.37217,1.56883,1.13648,1.22121,0.008647,0.008647,0.008647
43,1438.3,1.47925,1.00582,1.16137,0.76558,0.6778,0.73244,0.4007,0.40252,1.53325,1.04574,1.23364,0.008614,0.008614,0.008614
44,1471.44,1.47445,0.98786,1.16125,0.76212,0.66845,0.73583,0.39904,0.40146,1.54182,1.05654,1.22548,0.008581,0.008581,0.008581
45,1505.07,1.46156,0.98806,1.15642,0.76314,0.66863,0.73351,0.41646,0.40948,1.53051,1.02698,1.22369,0.008548,0.008548,0.008548
46,1538.19,1.46754,0.98772,1.15498,0.77827,0.66599,0.74334,0.43922,0.42259,1.50089,1.02053,1.20777,0.008515,0.008515,0.008515
47,1571.03,1.45737,0.96745,1.1447,0.75865,0.67373,0.73406,0.41912,0.41003,1.53325,1.01425,1.23575,0.008482,0.008482,0.008482
48,1604.46,1.45808,0.96581,1.15725,0.78529,0.656,0.73391,0.41054,0.40675,1.54956,1.01623,1.23899,0.008449,0.008449,0.008449
49,1637.47,1.45885,0.96474,1.16195,0.78372,0.66179,0.7366,0.41962,0.41062,1.52079,0.99968,1.23025,0.008416,0.008416,0.008416
50,1670.41,1.44483,0.95995,1.15261,0.785,0.67322,0.74605,0.42251,0.41654,1.49982,1.02573,1.20984,0.008383,0.008383,0.008383
51,1703.52,1.45536,0.95756,1.15274,0.79094,0.66414,0.7436,0.42375,0.4143,1.51793,1.01792,1.22666,0.00835,0.00835,0.00835
52,1736.6,1.43171,0.93861,1.14994,0.79074,0.68303,0.75777,0.4399,0.42765,1.50531,0.97254,1.21785,0.008317,0.008317,0.008317
53,1770.19,1.43723,0.93952,1.14814,0.75233,0.66778,0.72656,0.41801,0.4045,1.54723,1.03077,1.26285,0.008284,0.008284,0.008284
54,1803.99,1.43768,0.93652,1.15052,0.78283,0.67838,0.74088,0.42562,0.41552,1.50183,1.00969,1.21907,0.008251,0.008251,0.008251
55,1837.46,1.43918,0.93474,1.14145,0.7459,0.67649,0.73141,0.41538,0.40744,1.53749,1.02411,1.24578,0.008218,0.008218,0.008218
56,1870.93,1.4334,0.92156,1.14878,0.78755,0.6874,0.75465,0.42263,0.42041,1.53132,0.98466,1.24294,0.008185,0.008185,0.008185
57,1904.18,1.41975,0.9187,1.1465,0.77764,0.69067,0.75164,0.42642,0.42132,1.52336,0.98998,1.22443,0.008152,0.008152,0.008152
58,1937.45,1.41988,0.911,1.13917,0.78125,0.68299,0.74442,0.41798,0.41369,1.53187,0.99183,1.24883,0.008119,0.008119,0.008119
59,1970.41,1.41931,0.90767,1.14156,0.78208,0.67825,0.7457,0.41466,0.41238,1.54075,1.00951,1.25091,0.008086,0.008086,0.008086
60,2003.88,1.41507,0.90452,1.13693,0.79276,0.68542,0.75918,0.41352,0.41432,1.55278,0.98411,1.24915,0.008053,0.008053,0.008053
61,2037.32,1.42106,0.90332,1.14273,0.77892,0.68874,0.75072,0.42713,0.42215,1.53014,0.96643,1.25693,0.00802,0.00802,0.00802
62,2070.47,1.41354,0.89406,1.13318,0.77042,0.69726,0.75377,0.42363,0.41922,1.54534,0.9534,1.26208,0.007987,0.007987,0.007987
63,2103.97,1.40714,0.88434,1.13844,0.77745,0.68577,0.74953,0.43245,0.42147,1.52725,0.97529,1.24037,0.007954,0.007954,0.007954
64,2137.2,1.39739,0.88372,1.13918,0.77824,0.68876,0.75176,0.43595,0.42172,1.53347,0.96511,1.24076,0.007921,0.007921,0.007921
65,2170.15,1.39994,0.884,1.14092,0.78918,0.6749,0.75125,0.43807,0.42122,1.52207,0.95284,1.24065,0.007888,0.007888,0.007888
66,2203.18,1.39508,0.87097,1.13146,0.76677,0.69187,0.74428,0.41801,0.41418,1.54651,0.96414,1.2581,0.007855,0.007855,0.007855
67,2236.12,1.38686,0.86094,1.12363,0.78506,0.70878,0.7666,0.44855,0.43061,1.51567,0.92949,1.24248,0.007822,0.007822,0.007822
68,2269.45,1.38461,0.86134,1.1242,0.7842,0.69331,0.75786,0.42674,0.42029,1.53381,0.95261,1.25737,0.007789,0.007789,0.007789
69,2302.69,1.37447,0.85009,1.11496,0.76562,0.69006,0.75131,0.42537,0.41513,1.55119,0.9711,1.2591,0.007756,0.007756,0.007756
70,2336.35,1.38621,0.86547,1.12872,0.78272,0.68825,0.75822,0.42883,0.42221,1.54279,0.94321,1.26085,0.007723,0.007723,0.007723
71,2369.37,1.37322,0.85107,1.12738,0.78795,0.70416,0.76904,0.44769,0.43552,1.51195,0.92278,1.24303,0.00769,0.00769,0.00769
72,2402.59,1.36884,0.85155,1.11519,0.78914,0.67598,0.75007,0.41982,0.4153,1.56699,0.99082,1.26569,0.007657,0.007657,0.007657
73,2435.49,1.37308,0.84375,1.11993,0.78888,0.70928,0.77287,0.45042,0.43667,1.50493,0.91106,1.22936,0.007624,0.007624,0.007624
74,2469,1.37083,0.8494,1.12644,0.78759,0.69728,0.76147,0.43736,0.42625,1.51667,0.94078,1.24535,0.007591,0.007591,0.007591
75,2502.13,1.37441,0.84025,1.12286,0.78881,0.70023,0.76769,0.44703,0.43304,1.5105,0.92919,1.23532,0.007558,0.007558,0.007558
76,2535.48,1.35761,0.82656,1.11692,0.7811,0.72078,0.77249,0.45843,0.43906,1.50773,0.90803,1.23899,0.007525,0.007525,0.007525
77,2569.01,1.35347,0.82053,1.11685,0.77405,0.71103,0.77063,0.4501,0.43676,1.51051,0.90922,1.24045,0.007492,0.007492,0.007492
78,2602.38,1.35875,0.82892,1.11163,0.78914,0.70516,0.76886,0.44289,0.43545,1.50707,0.91851,1.24052,0.007459,0.007459,0.007459
79,2635.91,1.35878,0.82896,1.11593,0.79746,0.68904,0.76476,0.44807,0.43434,1.50444,0.91384,1.23417,0.007426,0.007426,0.007426
80,2669.34,1.35094,0.82068,1.1099,0.79691,0.70425,0.77428,0.45479,0.43693,1.51311,0.90429,1.2358,0.007393,0.007393,0.007393
81,2702.24,1.34794,0.8118,1.10444,0.78669,0.70357,0.76672,0.43375,0.42827,1.52969,0.92805,1.25143,0.00736,0.00736,0.00736
82,2735.58,1.34211,0.80779,1.10424,0.79558,0.68647,0.75125,0.41718,0.41817,1.55446,0.94316,1.26604,0.007327,0.007327,0.007327
83,2768.43,1.34697,0.81578,1.10512,0.79798,0.70458,0.77117,0.44683,0.43624,1.51423,0.89504,1.25964,0.007294,0.007294,0.007294
84,2801.56,1.33025,0.8042,1.10758,0.78776,0.70392,0.76338,0.44159,0.43179,1.52762,0.92859,1.24742,0.007261,0.007261,0.007261
85,2834.66,1.33547,0.80141,1.0997,0.80614,0.69948,0.77549,0.45055,0.43978,1.50934,0.91341,1.23159,0.007228,0.007228,0.007228
86,2867.71,1.32545,0.79218,1.09902,0.78148,0.71426,0.77436,0.45428,0.43795,1.52361,0.89454,1.25207,0.007195,0.007195,0.007195
87,2900.61,1.32191,0.78498,1.10473,0.81777,0.6882,0.76287,0.45474,0.43351,1.52159,0.91677,1.2469,0.007162,0.007162,0.007162
88,2933.64,1.32987,0.79181,1.10205,0.77574,0.7216,0.77024,0.44644,0.43557,1.51111,0.89799,1.24654,0.007129,0.007129,0.007129
89,2967.33,1.316,0.78222,1.0953,0.78932,0.71117,0.77017,0.45058,0.43781,1.52073,0.90256,1.25859,0.007096,0.007096,0.007096
90,3000.48,1.32706,0.78803,1.09734,0.7869,0.71578,0.77119,0.45374,0.4395,1.5074,0.89744,1.25051,0.007063,0.007063,0.007063
91,3033.89,1.30733,0.77946,1.09234,0.78053,0.72327,0.77192,0.44427,0.43462,1.51357,0.91073,1.24943,0.00703,0.00703,0.00703
92,3066.91,1.31865,0.77581,1.09557,0.79357,0.71309,0.76798,0.44781,0.43665,1.51951,0.90208,1.25351,0.006997,0.006997,0.006997
93,3100.59,1.30872,0.77374,1.0916,0.78218,0.71696,0.7755,0.45124,0.43884,1.51817,0.89561,1.25408,0.006964,0.006964,0.006964
94,3133.29,1.30469,0.763,1.09537,0.78995,0.7169,0.7735,0.45273,0.43792,1.52534,0.88433,1.25562,0.006931,0.006931,0.006931
95,3166.56,1.30876,0.76615,1.08354,0.80619,0.70849,0.77744,0.45711,0.44371,1.50537,0.8886,1.23435,0.006898,0.006898,0.006898
96,3200.33,1.29849,0.76034,1.09013,0.76578,0.71785,0.76177,0.43529,0.42692,1.53476,0.89951,1.26551,0.006865,0.006865,0.006865
