epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.7138,1.89831,3.04887,1.43987,0.58102,0.35937,0.40715,0.17199,0.20055,1.78307,2.25143,1.41521,0.00331019,0.00331019,0.00331019
2,96.8827,1.78765,1.83057,1.38126,0.58246,0.45771,0.47457,0.19114,0.22803,1.77708,2.06119,1.46558,0.00662159,0.00662159,0.00662159
3,139.657,1.78277,1.72711,1.37885,0.56167,0.41025,0.41477,0.15378,0.19637,1.87492,2.03595,1.50301,0.009911,0.009911,0.009911
4,183.816,1.77135,1.67744,1.35805,0.54522,0.42518,0.42805,0.1613,0.20275,1.80294,1.91889,1.45562,0.009901,0.009901,0.009901
5,228.332,1.73898,1.58275,1.34812,0.60336,0.44481,0.47102,0.18713,0.23003,1.77466,1.83569,1.44961,0.009868,0.009868,0.009868
6,271.69,1.72373,1.50352,1.33849,0.65577,0.4593,0.49392,0.19787,0.23844,1.77539,1.64947,1.41967,0.009835,0.009835,0.009835
7,314.6,1.70009,1.469,1.33583,0.66729,0.52923,0.57293,0.26082,0.28955,1.66902,1.44514,1.38617,0.009802,0.009802,0.009802
8,358.407,1.68267,1.42032,1.32739,0.66653,0.41175,0.47353,0.20189,0.23465,1.78597,1.72561,1.44573,0.009769,0.009769,0.009769
9,403.913,1.68162,1.41159,1.32847,0.64763,0.46685,0.52537,0.21912,0.25737,1.7787,1.59599,1.39801,0.009736,0.009736,0.009736
10,448.904,1.66264,1.3536,1.3147,0.70239,0.53522,0.59524,0.27804,0.30573,1.65432,1.45673,1.37053,0.009703,0.009703,0.009703
11,496.139,1.65556,1.32847,1.30922,0.7161,0.51839,0.58138,0.27184,0.29745,1.69756,1.46336,1.38771,0.00967,0.00967,0.00967
12,544.676,1.63332,1.32558,1.30003,0.70936,0.54036,0.59173,0.27603,0.30133,1.64183,1.4534,1.35498,0.009637,0.009637,0.009637
13,593.867,1.62623,1.2858,1.29355,0.66572,0.51121,0.55673,0.26987,0.28668,1.65548,1.48245,1.36314,0.009604,0.009604,0.009604
14,641.455,1.635,1.29502,1.29158,0.67978,0.53275,0.58738,0.29308,0.3106,1.63132,1.39487,1.35222,0.009571,0.009571,0.009571
