epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.6662,1.90157,3.27049,1.37645,0.4837,0.35431,0.38825,0.15669,0.18979,1.73641,2.23267,1.32447,0.00331019,0.00331019,0.00331019
2,76.7942,1.75508,1.91114,1.29305,0.58614,0.51136,0.52148,0.22397,0.25735,1.69336,1.90114,1.33042,0.00662159,0.00662159,0.00662159
3,114.792,1.76317,1.7604,1.28577,0.5715,0.41741,0.45107,0.18768,0.21926,1.76995,1.90484,1.32149,0.009911,0.009911,0.009911
4,152.195,1.75046,1.70241,1.27138,0.65503,0.43088,0.46887,0.17405,0.21972,1.77318,1.90014,1.34006,0.009901,0.009901,0.009901
5,189.432,1.72607,1.59386,1.27025,0.67168,0.43408,0.4695,0.17936,0.2225,1.73934,1.74953,1.29214,0.009868,0.009868,0.009868
6,227.121,1.70092,1.52659,1.25768,0.63755,0.55677,0.56237,0.23574,0.27316,1.68029,1.72595,1.30542,0.009835,0.009835,0.009835
7,264.371,1.6822,1.48162,1.25622,0.63796,0.56416,0.58918,0.27766,0.30318,1.6251,1.51108,1.25856,0.009802,0.009802,0.009802
8,301.496,1.6607,1.43218,1.24044,0.71456,0.44294,0.51502,0.22263,0.25595,1.6892,1.61547,1.27054,0.009769,0.009769,0.009769
9,338.409,1.65378,1.42508,1.24393,0.70479,0.54589,0.61131,0.28426,0.31195,1.63017,1.42457,1.27671,0.009736,0.009736,0.009736
10,375.213,1.64571,1.38174,1.23918,0.71776,0.58423,0.63903,0.30206,0.32977,1.59476,1.36124,1.2494,0.009703,0.009703,0.009703
11,412.821,1.63335,1.36195,1.22867,0.67519,0.57405,0.61018,0.28083,0.31244,1.61817,1.42403,1.25114,0.00967,0.00967,0.00967
12,449.498,1.62362,1.34569,1.22615,0.7041,0.54523,0.5997,0.27725,0.30723,1.62719,1.43617,1.26724,0.009637,0.009637,0.009637
13,485.857,1.61184,1.30422,1.21948,0.68007,0.54354,0.592,0.28859,0.30706,1.65957,1.44315,1.27744,0.009604,0.009604,0.009604
14,523.018,1.61533,1.2988,1.21479,0.71925,0.58552,0.6436,0.31395,0.33835,1.57709,1.31181,1.24101,0.009571,0.009571,0.009571
15,560.504,1.60894,1.29283,1.21695,0.71419,0.5883,0.64601,0.32257,0.34104,1.6231,1.29978,1.25144,0.009538,0.009538,0.009538
16,598.428,1.59979,1.25909,1.21256,0.74227,0.59788,0.67202,0.32891,0.35464,1.58804,1.26739,1.23262,0.009505,0.009505,0.009505
17,635.674,1.59055,1.24315,1.20361,0.75344,0.60182,0.66716,0.33539,0.35231,1.57691,1.25401,1.24178,0.009472,0.009472,0.009472
18,673.443,1.58163,1.22563,1.20373,0.72357,0.62271,0.67346,0.33288,0.35429,1.57519,1.24065,1.2509,0.009439,0.009439,0.009439
19,711.136,1.57497,1.21464,1.20737,0.74907,0.60119,0.66623,0.33308,0.35225,1.57248,1.23686,1.23372,0.009406,0.009406,0.009406
20,748.535,1.56759,1.19893,1.19664,0.71474,0.59547,0.65089,0.31843,0.33907,1.65241,1.26954,1.27128,0.009373,0.009373,0.009373
21,785.538,1.56682,1.1729,1.20226,0.72975,0.58285,0.64991,0.32439,0.3395,1.59847,1.25445,1.24777,0.00934,0.00934,0.00934
22,822.529,1.56151,1.17619,1.19607,0.71728,0.59549,0.64689,0.30767,0.3331,1.67572,1.24729,1.29815,0.009307,0.009307,0.009307
23,860.102,1.55472,1.14978,1.1947,0.74627,0.61423,0.68158,0.35363,0.3654,1.57055,1.2011,1.23757,0.009274,0.009274,0.009274
24,897.437,1.55464,1.15286,1.19285,0.73218,0.55885,0.63419,0.32711,0.33754,1.61671,1.31185,1.2585,0.009241,0.009241,0.009241
25,935.405,1.55086,1.1405,1.19178,0.74633,0.62417,0.69354,0.36163,0.3714,1.56609,1.14863,1.2235,0.009208,0.009208,0.009208
26,972.966,1.54638,1.12668,1.18866,0.75859,0.59502,0.66444,0.33964,0.35312,1.58839,1.20209,1.24232,0.009175,0.009175,0.009175
27,1010.67,1.5482,1.12821,1.18442,0.74986,0.61752,0.688,0.36316,0.37163,1.5819,1.16108,1.24327,0.009142,0.009142,0.009142
28,1048.13,1.53143,1.10945,1.18064,0.74023,0.63868,0.70187,0.37149,0.37601,1.54912,1.14478,1.2199,0.009109,0.009109,0.009109
29,1086.18,1.54149,1.11625,1.18799,0.74647,0.63959,0.7001,0.3691,0.37861,1.57503,1.13115,1.25483,0.009076,0.009076,0.009076
