epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.1656,1.89898,3.21923,1.36699,0.73139,0.38116,0.39977,0.16063,0.19474,1.75614,2.1021,1.33355,0.00331019,0.00331019,0.00331019
2,92.991,1.76015,1.89714,1.27573,0.59368,0.33587,0.34101,0.13548,0.16308,1.89395,2.20341,1.4425,0.00662159,0.00662159,0.00662159
3,138.322,1.76297,1.75072,1.2999,0.43809,0.21155,0.18383,0.06241,0.08419,2.15848,2.78537,1.58535,0.009911,0.009911,0.009911
4,183.245,1.76212,1.67008,1.29016,0.59454,0.27338,0.29219,0.10568,0.13687,1.96512,2.24435,1.46092,0.009901,0.009901,0.009901
5,227.697,1.72209,1.5907,1.27749,0.62075,0.48068,0.50045,0.21366,0.24819,1.70149,1.67435,1.32737,0.009868,0.009868,0.009868
6,271.967,1.69918,1.51816,1.26997,0.61978,0.46871,0.50189,0.2022,0.24137,1.79873,1.67746,1.35069,0.009835,0.009835,0.009835
7,316.682,1.68224,1.47382,1.26502,0.62143,0.48644,0.51715,0.21759,0.25382,1.71503,1.63711,1.33855,0.009802,0.009802,0.009802
8,360.994,1.67275,1.43228,1.25747,0.6657,0.56705,0.60554,0.26217,0.302,1.65944,1.47782,1.26796,0.009769,0.009769,0.009769
9,405.432,1.65613,1.40776,1.25243,0.70814,0.54371,0.60248,0.28344,0.30955,1.6016,1.45393,1.24993,0.009736,0.009736,0.009736
10,449.937,1.64746,1.36973,1.25029,0.68656,0.57027,0.62147,0.30707,0.32773,1.58004,1.36828,1.25857,0.009703,0.009703,0.009703
11,494.704,1.63646,1.33058,1.24006,0.73271,0.58252,0.64938,0.31801,0.33886,1.60593,1.29671,1.24696,0.00967,0.00967,0.00967
12,539.029,1.62862,1.31987,1.23672,0.64117,0.58997,0.61733,0.29735,0.32052,1.59709,1.53358,1.2565,0.009637,0.009637,0.009637
13,583.115,1.61625,1.28553,1.23747,0.67522,0.51069,0.55756,0.25072,0.28111,1.69302,1.46208,1.31313,0.009604,0.009604,0.009604
14,627.633,1.62003,1.28488,1.23365,0.69022,0.58988,0.63447,0.31008,0.33022,1.61701,1.34034,1.27445,0.009571,0.009571,0.009571
15,671.349,1.61279,1.28319,1.23384,0.72852,0.51744,0.60776,0.31185,0.32246,1.59933,1.40019,1.24914,0.009538,0.009538,0.009538
16,714.565,1.6031,1.24497,1.22469,0.72587,0.57966,0.65219,0.31471,0.34071,1.60759,1.28368,1.27275,0.009505,0.009505,0.009505
17,756.905,1.58983,1.23049,1.22194,0.73919,0.60097,0.66536,0.34367,0.35407,1.58058,1.26125,1.24471,0.009472,0.009472,0.009472
18,799.876,1.58724,1.21421,1.21983,0.72016,0.57339,0.62843,0.325,0.33263,1.58305,1.27156,1.26704,0.009439,0.009439,0.009439
19,841.222,1.57642,1.21372,1.22977,0.71053,0.54965,0.5966,0.26523,0.29864,1.68177,1.45786,1.29989,0.009406,0.009406,0.009406
20,883.432,1.56804,1.18723,1.20716,0.72937,0.62529,0.67754,0.33533,0.355,1.59678,1.26262,1.26738,0.009373,0.009373,0.009373
21,926.432,1.56714,1.16756,1.21475,0.69052,0.52933,0.59335,0.2953,0.31063,1.66636,1.37261,1.30206,0.00934,0.00934,0.00934
22,967.685,1.56569,1.16071,1.21314,0.72282,0.58332,0.64987,0.33292,0.34347,1.62359,1.26287,1.29898,0.009307,0.009307,0.009307
23,1011.08,1.55831,1.14827,1.21314,0.7408,0.61159,0.6823,0.34922,0.36623,1.55863,1.17175,1.24087,0.009274,0.009274,0.009274
24,1054.91,1.55923,1.14531,1.21571,0.72819,0.58794,0.66249,0.34608,0.35486,1.57122,1.23424,1.25457,0.009241,0.009241,0.009241
25,1098.47,1.54751,1.12948,1.211,0.74263,0.58285,0.65561,0.33223,0.34898,1.61492,1.21375,1.26681,0.009208,0.009208,0.009208
26,1142.82,1.54968,1.11934,1.20684,0.73823,0.63632,0.69913,0.36314,0.377,1.56741,1.17274,1.25719,0.009175,0.009175,0.009175
27,1186.93,1.54649,1.10903,1.20541,0.75301,0.6332,0.70453,0.37497,0.38346,1.55293,1.10201,1.23831,0.009142,0.009142,0.009142
28,1231.34,1.53721,1.11882,1.19971,0.75552,0.6367,0.70982,0.37954,0.38227,1.54349,1.12047,1.24378,0.009109,0.009109,0.009109
29,1275.23,1.54086,1.11134,1.21003,0.76688,0.63023,0.71401,0.38573,0.38834,1.55525,1.12239,1.25245,0.009076,0.009076,0.009076
30,1319.44,1.53132,1.08271,1.19904,0.74744,0.62994,0.70284,0.35455,0.37065,1.59937,1.13959,1.28516,0.009043,0.009043,0.009043
31,1363.49,1.5308,1.08285,1.19512,0.74397,0.64917,0.70104,0.36197,0.37445,1.59832,1.08469,1.29719,0.00901,0.00901,0.00901
32,1407.78,1.52808,1.06316,1.1973,0.7476,0.65438,0.71201,0.39029,0.38998,1.53287,1.08535,1.24677,0.008977,0.008977,0.008977
33,1451.87,1.52413,1.06851,1.19659,0.75438,0.64243,0.70677,0.38217,0.38811,1.54151,1.08589,1.25653,0.008944,0.008944,0.008944
34,1495.64,1.51773,1.05725,1.19455,0.75008,0.67961,0.73161,0.39837,0.40042,1.53026,1.08401,1.24252,0.008911,0.008911,0.008911
35,1540,1.50499,1.05809,1.18799,0.72912,0.61074,0.672,0.33398,0.3545,1.63348,1.1701,1.29491,0.008878,0.008878,0.008878
36,1584.66,1.51398,1.05558,1.19908,0.76528,0.62024,0.69371,0.36125,0.37379,1.56501,1.13122,1.25734,0.008845,0.008845,0.008845
37,1628.77,1.50115,1.04469,1.1885,0.70353,0.55364,0.60583,0.30249,0.31829,1.69264,1.35725,1.33524,0.008812,0.008812,0.008812
38,1672.71,1.49212,1.03656,1.18627,0.72171,0.61744,0.67678,0.37276,0.37011,1.57323,1.13819,1.26225,0.008779,0.008779,0.008779
39,1716.95,1.48422,1.01941,1.18585,0.7688,0.65862,0.72374,0.38283,0.39015,1.58989,1.02622,1.29829,0.008746,0.008746,0.008746
40,1761.03,1.49322,1.01098,1.19095,0.76238,0.65005,0.71731,0.39228,0.39183,1.5404,1.05307,1.26368,0.008713,0.008713,0.008713
41,1805.31,1.48177,1.00323,1.18962,0.74898,0.65899,0.72124,0.40046,0.40124,1.51631,1.06395,1.2335,0.00868,0.00868,0.00868
42,1849.03,1.47498,0.98817,1.1829,0.76998,0.66755,0.73607,0.40779,0.40685,1.53155,1.02812,1.24238,0.008647,0.008647,0.008647
43,1893.26,1.48681,1.00768,1.18298,0.76438,0.64913,0.72192,0.41016,0.39871,1.54393,1.04364,1.2634,0.008614,0.008614,0.008614
44,1937.44,1.47111,0.99126,1.18006,0.7411,0.62382,0.68072,0.36181,0.36667,1.59745,1.08918,1.28972,0.008581,0.008581,0.008581
