epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.7871,1.89301,3.04467,1.42944,0.66103,0.26369,0.274,0.09734,0.12551,2.05642,2.47919,1.63068,0.00331019,0.00331019,0.00331019
2,95.3126,1.77379,1.89915,1.34993,0.58619,0.49714,0.51508,0.21265,0.25142,1.69868,1.98328,1.40437,0.00662159,0.00662159,0.00662159
3,142.099,1.77495,1.7544,1.36943,0.43376,0.3583,0.33652,0.12491,0.157,1.9574,2.82351,1.59895,0.009911,0.009911,0.009911
4,188.471,1.77736,1.68116,1.35106,0.54069,0.36212,0.37365,0.13853,0.17526,1.85404,2.03855,1.49847,0.009901,0.009901,0.009901
5,233.853,1.72961,1.6046,1.33938,0.56058,0.39387,0.41578,0.15805,0.19623,1.8526,1.94215,1.50019,0.009868,0.009868,0.009868
6,280.904,1.71429,1.4982,1.33141,0.66257,0.53779,0.56691,0.23703,0.27717,1.68936,1.525,1.38589,0.009835,0.009835,0.009835
7,324.519,1.69765,1.47445,1.32593,0.67145,0.49359,0.5415,0.23155,0.26915,1.6878,1.74942,1.35536,0.009802,0.009802,0.009802
8,367.932,1.6788,1.43413,1.31771,0.68791,0.5218,0.56866,0.23877,0.2795,1.72482,1.49561,1.38879,0.009769,0.009769,0.009769
9,410.19,1.66899,1.40752,1.31928,0.63686,0.42771,0.47225,0.22033,0.24293,1.75507,1.75491,1.44829,0.009736,0.009736,0.009736
10,455.315,1.65927,1.35986,1.31048,0.64729,0.51596,0.56332,0.24363,0.28013,1.72907,1.52714,1.38942,0.009703,0.009703,0.009703
11,503.202,1.6462,1.32561,1.30138,0.67958,0.58089,0.6235,0.30005,0.32136,1.63886,1.3811,1.35929,0.00967,0.00967,0.00967
12,549.934,1.63679,1.32454,1.29539,0.68538,0.57545,0.62776,0.28384,0.32032,1.63936,1.40379,1.33501,0.009637,0.009637,0.009637
13,595.532,1.6211,1.28932,1.28977,0.72073,0.59335,0.64464,0.28655,0.32645,1.65052,1.30965,1.35533,0.009604,0.009604,0.009604
14,641.958,1.62742,1.28456,1.28512,0.71374,0.56007,0.61895,0.30187,0.3235,1.61703,1.3264,1.33987,0.009571,0.009571,0.009571
15,688.922,1.61243,1.26314,1.27994,0.71605,0.55111,0.61215,0.28502,0.31383,1.68209,1.32851,1.3626,0.009538,0.009538,0.009538
16,733.931,1.60666,1.24396,1.27674,0.70956,0.55823,0.61621,0.29206,0.31806,1.66366,1.32798,1.37854,0.009505,0.009505,0.009505
17,779.418,1.59831,1.2289,1.27599,0.72403,0.60021,0.66318,0.3492,0.35546,1.60029,1.25022,1.33695,0.009472,0.009472,0.009472
18,825.267,1.59306,1.20599,1.2675,0.70705,0.56501,0.62638,0.31944,0.33047,1.6372,1.28645,1.37836,0.009439,0.009439,0.009439
19,874.453,1.57937,1.2028,1.272,0.71478,0.60477,0.64636,0.32123,0.33987,1.59663,1.26304,1.3373,0.009406,0.009406,0.009406
20,917.698,1.57281,1.17973,1.2554,0.72113,0.62027,0.6786,0.35051,0.36034,1.6182,1.18273,1.36217,0.009373,0.009373,0.009373
21,961.398,1.57891,1.16614,1.2654,0.70747,0.5569,0.61884,0.31289,0.32724,1.62437,1.29174,1.35394,0.00934,0.00934,0.00934
22,1004.73,1.5733,1.15844,1.25788,0.73525,0.61735,0.67402,0.3368,0.35596,1.62132,1.17506,1.35344,0.009307,0.009307,0.009307
23,1052.79,1.57357,1.15509,1.26398,0.70463,0.5969,0.64777,0.32112,0.34178,1.65208,1.22081,1.36344,0.009274,0.009274,0.009274
24,1099.65,1.56612,1.14475,1.2581,0.73768,0.56646,0.63117,0.32504,0.33697,1.60758,1.29089,1.33147,0.009241,0.009241,0.009241
25,1146.06,1.54882,1.12146,1.25129,0.7693,0.59807,0.68404,0.35505,0.36678,1.59688,1.17589,1.33731,0.009208,0.009208,0.009208
26,1192.42,1.55582,1.11894,1.25198,0.73416,0.62696,0.68569,0.3697,0.37367,1.57162,1.12497,1.32888,0.009175,0.009175,0.009175
27,1238.58,1.5552,1.11401,1.24365,0.72006,0.58859,0.65468,0.32712,0.34665,1.64004,1.20547,1.36709,0.009142,0.009142,0.009142
28,1284.08,1.54419,1.10637,1.24056,0.74921,0.60353,0.67904,0.36069,0.36692,1.59089,1.14983,1.3425,0.009109,0.009109,0.009109
29,1330.47,1.55242,1.11243,1.25283,0.73744,0.61262,0.67565,0.35013,0.35921,1.60922,1.16666,1.34933,0.009076,0.009076,0.009076
30,1374.45,1.54324,1.09224,1.23718,0.75083,0.57202,0.65056,0.33743,0.34895,1.60971,1.2364,1.34105,0.009043,0.009043,0.009043
31,1418.7,1.53837,1.07914,1.23651,0.7448,0.5847,0.64671,0.32025,0.33818,1.663,1.18146,1.36902,0.00901,0.00901,0.00901
32,1463.82,1.54914,1.07155,1.24063,0.74426,0.63797,0.7055,0.36439,0.38089,1.59529,1.11971,1.32697,0.008977,0.008977,0.008977
33,1508.5,1.53077,1.07411,1.23085,0.75521,0.6286,0.69693,0.37973,0.3787,1.56197,1.12884,1.32329,0.008944,0.008944,0.008944
34,1552.56,1.53046,1.06663,1.23134,0.76511,0.65005,0.71976,0.3822,0.38937,1.56699,1.07096,1.30313,0.008911,0.008911,0.008911
35,1594.32,1.52092,1.05106,1.23034,0.76816,0.6284,0.70809,0.37742,0.38297,1.57577,1.07442,1.31933,0.008878,0.008878,0.008878
36,1641.89,1.52088,1.05919,1.23864,0.76717,0.65337,0.71685,0.38484,0.38996,1.54942,1.08312,1.30224,0.008845,0.008845,0.008845
37,1690.07,1.50703,1.04195,1.22654,0.75579,0.61222,0.68344,0.36008,0.36748,1.59165,1.17513,1.33137,0.008812,0.008812,0.008812
38,1735.91,1.50125,1.02649,1.22711,0.76432,0.6268,0.69961,0.3788,0.38493,1.57678,1.10929,1.31782,0.008779,0.008779,0.008779
39,1782.1,1.49657,1.0227,1.22393,0.78041,0.64212,0.71878,0.39286,0.3911,1.5725,1.07086,1.32262,0.008746,0.008746,0.008746
40,1831.48,1.50668,1.0185,1.2288,0.75367,0.66662,0.72589,0.39733,0.39788,1.54188,1.08858,1.3025,0.008713,0.008713,0.008713
41,1880.95,1.49339,1.00463,1.22481,0.77736,0.6526,0.72827,0.40088,0.40031,1.55191,1.04036,1.30519,0.00868,0.00868,0.00868
42,1933.04,1.49137,0.99692,1.22037,0.76096,0.63699,0.69204,0.37361,0.37499,1.61912,1.09683,1.35701,0.008647,0.008647,0.008647
43,1985.69,1.48965,1.00581,1.21767,0.77163,0.63411,0.71273,0.37088,0.38392,1.59167,1.07381,1.33927,0.008614,0.008614,0.008614
44,2034.87,1.48518,0.98855,1.21743,0.76548,0.62596,0.69653,0.39545,0.3862,1.56446,1.11661,1.33084,0.008581,0.008581,0.008581
45,2082.85,1.47524,0.98292,1.21123,0.75845,0.65856,0.71887,0.39801,0.39636,1.55819,1.03035,1.31699,0.008548,0.008548,0.008548
46,2124.01,1.48154,0.98581,1.2156,0.76376,0.64917,0.71289,0.38855,0.39003,1.58452,1.06548,1.33038,0.008515,0.008515,0.008515
47,2167.46,1.47726,0.96499,1.19919,0.75523,0.64849,0.70591,0.38511,0.38744,1.56269,1.05225,1.31231,0.008482,0.008482,0.008482
48,2212.9,1.47026,0.9699,1.21335,0.78778,0.64354,0.72591,0.38093,0.39082,1.61282,1.04101,1.34254,0.008449,0.008449,0.008449
49,2262.47,1.46264,0.96275,1.21026,0.76526,0.67752,0.74125,0.42603,0.41497,1.51182,1.00221,1.28695,0.008416,0.008416,0.008416
50,2310.26,1.45278,0.94637,1.20415,0.76335,0.67935,0.74206,0.42919,0.41557,1.52857,0.98108,1.29501,0.008383,0.008383,0.008383
51,2357.07,1.4589,0.9569,1.20235,0.76139,0.68475,0.73908,0.4286,0.41552,1.52201,1.01138,1.30141,0.00835,0.00835,0.00835
52,2402.94,1.44955,0.94174,1.209,0.78256,0.6833,0.75238,0.43293,0.42374,1.51916,0.96657,1.28997,0.008317,0.008317,0.008317
53,2450.76,1.45637,0.94504,1.20436,0.77936,0.6646,0.73529,0.41706,0.41073,1.53891,0.98589,1.31524,0.008284,0.008284,0.008284
54,2498.77,1.45256,0.94532,1.20453,0.76189,0.62935,0.6902,0.38057,0.3789,1.57658,1.07857,1.33621,0.008251,0.008251,0.008251
55,2545.61,1.45585,0.9497,1.19326,0.77674,0.65956,0.73178,0.40893,0.40478,1.56224,1.02562,1.32297,0.008218,0.008218,0.008218
56,2591.74,1.44917,0.93057,1.19887,0.77471,0.69175,0.75402,0.434,0.42269,1.50831,0.98837,1.28753,0.008185,0.008185,0.008185
57,2637.84,1.43515,0.92632,1.19966,0.77963,0.68016,0.74665,0.43788,0.4235,1.52578,0.97047,1.31825,0.008152,0.008152,0.008152
58,2683.48,1.43014,0.91879,1.18824,0.77282,0.69519,0.75409,0.43987,0.42259,1.52058,0.96974,1.28664,0.008119,0.008119,0.008119
59,2728.02,1.43589,0.92021,1.19325,0.78101,0.68324,0.74714,0.41829,0.41457,1.53072,0.98867,1.30601,0.008086,0.008086,0.008086
60,2769.07,1.43133,0.91885,1.19033,0.78259,0.68082,0.75479,0.41845,0.41712,1.56502,0.96333,1.31765,0.008053,0.008053,0.008053
61,2814.25,1.42718,0.91263,1.18902,0.77337,0.66009,0.72757,0.40697,0.40345,1.55424,1.01753,1.32444,0.00802,0.00802,0.00802
62,2859.58,1.42939,0.90938,1.18515,0.76434,0.69839,0.75757,0.43288,0.42308,1.52725,0.94434,1.30484,0.007987,0.007987,0.007987
63,2904.89,1.41772,0.89848,1.18683,0.76219,0.69755,0.75735,0.43854,0.42445,1.52852,0.9456,1.30542,0.007954,0.007954,0.007954
64,2950.64,1.40266,0.8792,1.18348,0.79408,0.68508,0.76357,0.43594,0.43107,1.51115,0.94507,1.28408,0.007921,0.007921,0.007921
65,2997.82,1.41641,0.89169,1.19387,0.78029,0.6854,0.75415,0.44609,0.42594,1.51679,0.95346,1.29704,0.007888,0.007888,0.007888
66,3046.55,1.40822,0.87786,1.17834,0.76131,0.70908,0.76094,0.4403,0.42684,1.51452,0.93225,1.29514,0.007855,0.007855,0.007855
67,3094.68,1.40005,0.87313,1.17204,0.78623,0.68839,0.75636,0.43669,0.42533,1.52804,0.94228,1.31348,0.007822,0.007822,0.007822
68,3144.84,1.40586,0.8732,1.1767,0.76748,0.70417,0.76305,0.44555,0.43051,1.52945,0.92402,1.30376,0.007789,0.007789,0.007789
69,3190.89,1.38298,0.85513,1.15989,0.78202,0.67918,0.74896,0.41584,0.41631,1.54473,0.95241,1.32053,0.007756,0.007756,0.007756
70,3238.66,1.39933,0.86433,1.17522,0.78442,0.71184,0.77396,0.44727,0.43589,1.52398,0.90258,1.3063,0.007723,0.007723,0.007723
71,3281.56,1.38192,0.85815,1.17066,0.78128,0.71186,0.76956,0.4481,0.43395,1.51326,0.92634,1.28756,0.00769,0.00769,0.00769
72,3325.83,1.38782,0.85578,1.16556,0.77334,0.70604,0.76228,0.44279,0.42853,1.5143,0.93749,1.29909,0.007657,0.007657,0.007657
73,3368.51,1.38588,0.85611,1.16625,0.78283,0.69332,0.75794,0.43923,0.42658,1.52647,0.9298,1.30617,0.007624,0.007624,0.007624
74,3417.96,1.38638,0.85504,1.17366,0.78172,0.69977,0.76418,0.43913,0.42933,1.53262,0.93998,1.31374,0.007591,0.007591,0.007591
75,3462.67,1.3868,0.84978,1.16695,0.79699,0.67997,0.75555,0.43763,0.42367,1.54114,0.94848,1.31706,0.007558,0.007558,0.007558
76,3510.22,1.36862,0.83808,1.16243,0.78825,0.70129,0.76319,0.44539,0.43041,1.53689,0.92809,1.31987,0.007525,0.007525,0.007525
77,3558.66,1.36014,0.82784,1.1593,0.7924,0.69894,0.77007,0.45708,0.43901,1.51088,0.92062,1.29627,0.007492,0.007492,0.007492
78,3606.78,1.37166,0.83103,1.16273,0.78596,0.70253,0.76419,0.44994,0.43421,1.51957,0.91962,1.30336,0.007459,0.007459,0.007459
79,3655.6,1.36601,0.82646,1.15877,0.7805,0.70281,0.76665,0.45717,0.43683,1.5171,0.92395,1.29829,0.007426,0.007426,0.007426
80,3704.4,1.36399,0.82654,1.15579,0.78128,0.71256,0.77219,0.44446,0.43586,1.51747,0.91613,1.30587,0.007393,0.007393,0.007393
81,3753.37,1.35423,0.82103,1.14651,0.79421,0.71691,0.77807,0.47138,0.44434,1.50442,0.90253,1.29437,0.00736,0.00736,0.00736
82,3801.92,1.36126,0.81321,1.15368,0.77858,0.71204,0.77053,0.45472,0.43599,1.53192,0.91636,1.30465,0.007327,0.007327,0.007327
83,3848.4,1.36174,0.82277,1.15608,0.78254,0.67638,0.75043,0.43516,0.42276,1.5482,0.92711,1.32161,0.007294,0.007294,0.007294
84,3891.3,1.34835,0.8051,1.15506,0.80777,0.70497,0.77627,0.45433,0.44046,1.51096,0.89506,1.29437,0.007261,0.007261,0.007261
85,3933.54,1.35022,0.81121,1.14633,0.7996,0.70983,0.77596,0.45424,0.43827,1.51656,0.91223,1.30693,0.007228,0.007228,0.007228
86,3979.08,1.3398,0.80097,1.14343,0.80209,0.70847,0.77737,0.45579,0.44078,1.52459,0.91211,1.30856,0.007195,0.007195,0.007195
87,4024.99,1.33219,0.79405,1.15096,0.78181,0.71,0.77132,0.44076,0.43432,1.53624,0.92031,1.31567,0.007162,0.007162,0.007162
88,4069.91,1.33173,0.79794,1.14125,0.78789,0.70638,0.76935,0.43604,0.43204,1.5329,0.90458,1.31855,0.007129,0.007129,0.007129
89,4113.97,1.33214,0.78498,1.14292,0.79455,0.71746,0.77351,0.45366,0.43646,1.52604,0.91217,1.30983,0.007096,0.007096,0.007096
90,4158.16,1.34135,0.79424,1.13832,0.80532,0.70391,0.77778,0.47146,0.44367,1.51278,0.88824,1.30132,0.007063,0.007063,0.007063
91,4202.94,1.32412,0.78573,1.13996,0.77853,0.72848,0.7748,0.45603,0.43707,1.52338,0.9,1.30967,0.00703,0.00703,0.00703
92,4248.44,1.33273,0.78454,1.13812,0.78999,0.69292,0.75953,0.43641,0.42633,1.54343,0.92164,1.32316,0.006997,0.006997,0.006997
93,4296.13,1.32352,0.77815,1.13845,0.79207,0.69844,0.76658,0.44459,0.43397,1.52536,0.91678,1.3055,0.006964,0.006964,0.006964
94,4341.48,1.31525,0.778,1.14141,0.80337,0.69955,0.76632,0.43791,0.42807,1.55322,0.9201,1.33966,0.006931,0.006931,0.006931
95,4389.6,1.32281,0.77262,1.13035,0.79263,0.71747,0.77719,0.46089,0.4414,1.51967,0.88745,1.30377,0.006898,0.006898,0.006898
96,4435.79,1.30581,0.76722,1.1329,0.79281,0.70785,0.76432,0.43963,0.43131,1.53872,0.91286,1.32576,0.006865,0.006865,0.006865
97,4477.96,1.30687,0.76078,1.12405,0.78548,0.72514,0.77748,0.46765,0.44369,1.51095,0.8884,1.30471,0.006832,0.006832,0.006832
98,4520.58,1.30263,0.76112,1.12215,0.79588,0.71122,0.76964,0.45729,0.43694,1.53244,0.90781,1.32162,0.006799,0.006799,0.006799
99,4565.36,1.30865,0.75683,1.13166,0.79982,0.72252,0.78253,0.46259,0.44476,1.52188,0.88972,1.31249,0.006766,0.006766,0.006766
100,4611.56,1.29324,0.74896,1.12963,0.78983,0.72076,0.77778,0.4672,0.44386,1.51763,0.89478,1.30393,0.006733,0.006733,0.006733
101,4656.85,1.29579,0.74962,1.12518,0.79908,0.71336,0.77211,0.45622,0.43872,1.50382,0.89272,1.29087,0.0067,0.0067,0.0067
102,4701.1,1.29243,0.7513,1.11783,0.7931,0.73099,0.77977,0.46332,0.44538,1.52258,0.88196,1.31123,0.006667,0.006667,0.006667
103,4745.2,1.29281,0.74608,1.12363,0.78898,0.71363,0.76826,0.4401,0.43234,1.53769,0.90545,1.31977,0.006634,0.006634,0.006634
104,4790.92,1.28502,0.74421,1.12199,0.78171,0.72672,0.77905,0.46633,0.4442,1.52406,0.88585,1.31196,0.006601,0.006601,0.006601
105,4836.02,1.28719,0.73002,1.11391,0.7916,0.72132,0.77641,0.45439,0.43882,1.53216,0.88953,1.32209,0.006568,0.006568,0.006568
106,4879.65,1.28021,0.73946,1.11832,0.79267,0.71936,0.77912,0.46578,0.4456,1.52247,0.87649,1.31824,0.006535,0.006535,0.006535
107,4927.12,1.27841,0.738,1.11712,0.79316,0.71892,0.77946,0.45989,0.44187,1.52735,0.89323,1.30955,0.006502,0.006502,0.006502
108,4973.52,1.27699,0.72963,1.11074,0.8064,0.72195,0.78536,0.4596,0.44558,1.51995,0.88266,1.30945,0.006469,0.006469,0.006469
109,5018.87,1.27739,0.72741,1.11444,0.79778,0.71301,0.77688,0.46229,0.44381,1.53087,0.88937,1.31869,0.006436,0.006436,0.006436
110,5060.04,1.27376,0.73015,1.10959,0.78511,0.72114,0.77946,0.464,0.44364,1.51914,0.88727,1.31084,0.006403,0.006403,0.006403
111,5103.26,1.2602,0.71419,1.10909,0.78055,0.72601,0.77611,0.45715,0.44121,1.52828,0.88665,1.31834,0.00637,0.00637,0.00637
112,5146.01,1.25041,0.71966,1.10401,0.78926,0.72562,0.7779,0.46613,0.44525,1.524,0.88291,1.31898,0.006337,0.006337,0.006337
