epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.3217,1.89614,2.98012,1.44042,0.72713,0.35709,0.38051,0.14214,0.18067,1.79553,2.05839,1.42299,0.00331019,0.00331019,0.00331019
2,96.1516,1.78186,1.86857,1.36679,0.60829,0.44584,0.47751,0.20225,0.23349,1.73987,1.83151,1.407,0.00662159,0.00662159,0.00662159
3,141.384,1.78394,1.74891,1.37547,0.57993,0.41288,0.43666,0.1654,0.20544,1.7955,1.92866,1.45305,0.009911,0.009911,0.009911
4,187.916,1.77704,1.67163,1.36174,0.56468,0.42854,0.4333,0.14417,0.19616,1.91862,1.85559,1.51339,0.009901,0.009901,0.009901
5,236.89,1.73644,1.58549,1.35379,0.59442,0.46265,0.49374,0.20689,0.24258,1.72472,2.02716,1.41343,0.009868,0.009868,0.009868
6,286.563,1.71567,1.50674,1.34058,0.65656,0.47795,0.52292,0.21736,0.25316,1.7676,1.63391,1.43778,0.009835,0.009835,0.009835
7,336.612,1.70137,1.46269,1.33337,0.58237,0.48575,0.49312,0.20301,0.23959,1.74903,1.75602,1.43688,0.009802,0.009802,0.009802
8,386.714,1.67381,1.40539,1.32124,0.66235,0.46331,0.51221,0.22252,0.25588,1.73169,1.58174,1.41747,0.009769,0.009769,0.009769
9,436.623,1.67452,1.40778,1.32661,0.68927,0.54889,0.60587,0.26638,0.30586,1.6855,1.437,1.37356,0.009736,0.009736,0.009736
10,486.598,1.6623,1.35669,1.31833,0.6716,0.60406,0.63052,0.28157,0.31989,1.63396,1.37973,1.35666,0.009703,0.009703,0.009703
11,536.274,1.63907,1.32811,1.30326,0.72034,0.59012,0.64596,0.32427,0.34032,1.61014,1.32635,1.34748,0.00967,0.00967,0.00967
12,585.909,1.62727,1.31979,1.29827,0.69236,0.59052,0.63764,0.30895,0.32994,1.60422,1.42768,1.32856,0.009637,0.009637,0.009637
13,635.649,1.62179,1.29457,1.29433,0.70916,0.56809,0.62044,0.30982,0.32399,1.61177,1.37796,1.33047,0.009604,0.009604,0.009604
14,685.538,1.6281,1.28535,1.29404,0.6637,0.48331,0.5349,0.26132,0.27751,1.7151,1.48388,1.43182,0.009571,0.009571,0.009571
15,735.497,1.62595,1.28046,1.29298,0.71148,0.59815,0.654,0.32436,0.34454,1.59624,1.25737,1.32897,0.009538,0.009538,0.009538
16,785.466,1.60896,1.25774,1.2856,0.71779,0.55432,0.62915,0.29292,0.32436,1.66549,1.31748,1.37201,0.009505,0.009505,0.009505
17,835.563,1.59019,1.2281,1.27269,0.72241,0.61448,0.668,0.32427,0.34819,1.58687,1.2785,1.33188,0.009472,0.009472,0.009472
18,885.02,1.58789,1.20772,1.27085,0.73108,0.61404,0.67403,0.35901,0.36363,1.56735,1.19856,1.32322,0.009439,0.009439,0.009439
19,934.964,1.58001,1.21215,1.27629,0.72433,0.60711,0.665,0.34833,0.35682,1.56292,1.2355,1.32156,0.009406,0.009406,0.009406
20,984.901,1.57201,1.1878,1.26089,0.74194,0.59887,0.66461,0.34731,0.35321,1.59878,1.20576,1.34326,0.009373,0.009373,0.009373
21,1034.46,1.56814,1.16179,1.26498,0.73425,0.56995,0.63671,0.32344,0.33489,1.62069,1.24522,1.34292,0.00934,0.00934,0.00934
22,1084.14,1.57234,1.17132,1.26023,0.72478,0.59876,0.66187,0.3344,0.35079,1.59521,1.18877,1.33443,0.009307,0.009307,0.009307
23,1134.05,1.57025,1.14994,1.26562,0.73565,0.5856,0.65372,0.33128,0.34557,1.6063,1.20328,1.34961,0.009274,0.009274,0.009274
24,1183.54,1.57138,1.15895,1.26468,0.72939,0.62601,0.68994,0.36225,0.37393,1.55108,1.18004,1.30714,0.009241,0.009241,0.009241
25,1233.04,1.55079,1.1352,1.25554,0.733,0.62745,0.68791,0.36718,0.37055,1.58083,1.18995,1.324,0.009208,0.009208,0.009208
26,1283.58,1.54902,1.11702,1.25052,0.74008,0.62931,0.69402,0.36964,0.37301,1.55798,1.15217,1.3243,0.009175,0.009175,0.009175
27,1333.56,1.55459,1.12737,1.24572,0.73624,0.62598,0.68794,0.37182,0.37345,1.61297,1.1311,1.35735,0.009142,0.009142,0.009142
28,1383.75,1.54293,1.11781,1.24214,0.74706,0.63194,0.69291,0.371,0.37304,1.55733,1.13779,1.32198,0.009109,0.009109,0.009109
29,1432.94,1.5497,1.11895,1.25304,0.72604,0.6213,0.6801,0.3656,0.36763,1.60007,1.15957,1.36243,0.009076,0.009076,0.009076
30,1482.95,1.53596,1.09507,1.23881,0.7543,0.58202,0.6694,0.36465,0.36586,1.56317,1.20576,1.31686,0.009043,0.009043,0.009043
31,1532.88,1.53243,1.08705,1.23346,0.75981,0.64127,0.71137,0.37514,0.38392,1.5661,1.09157,1.32159,0.00901,0.00901,0.00901
32,1582.73,1.53568,1.06759,1.23583,0.7553,0.64502,0.71154,0.37865,0.38555,1.57582,1.08056,1.3222,0.008977,0.008977,0.008977
