epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9894,1.8897,3.18179,1.41605,0.48714,0.37285,0.38345,0.15662,0.18573,1.76488,2.12516,1.37702,0.00331019,0.00331019,0.00331019
2,77.8528,1.76566,1.87097,1.34546,0.60744,0.45501,0.47968,0.17831,0.22437,1.75264,1.92643,1.43538,0.00662159,0.00662159,0.00662159
3,116.031,1.7726,1.73766,1.35889,0.45076,0.25191,0.24395,0.07774,0.10891,2.27139,2.47375,1.78688,0.009911,0.009911,0.009911
4,153.794,1.76644,1.685,1.34326,0.71124,0.34102,0.38529,0.12842,0.17233,1.93367,1.9716,1.54439,0.009901,0.009901,0.009901
5,191.202,1.73987,1.58302,1.33643,0.65019,0.33618,0.381,0.12736,0.17195,1.99747,1.99352,1.57074,0.009868,0.009868,0.009868
6,228.699,1.71304,1.50511,1.32258,0.65214,0.50448,0.53517,0.2133,0.25745,1.7194,1.77455,1.407,0.009835,0.009835,0.009835
7,266.636,1.69788,1.47575,1.31676,0.66381,0.42307,0.46818,0.18967,0.22603,1.803,1.79904,1.45546,0.009802,0.009802,0.009802
8,304.324,1.67973,1.4201,1.30462,0.70923,0.47742,0.5306,0.2266,0.26212,1.69362,1.57248,1.34967,0.009769,0.009769,0.009769
9,342.196,1.67208,1.41417,1.31014,0.68483,0.53083,0.58613,0.26307,0.29628,1.6622,1.45301,1.33043,0.009736,0.009736,0.009736
10,379.614,1.65327,1.36559,1.29558,0.65238,0.60311,0.62833,0.28212,0.31723,1.62601,1.41532,1.33116,0.009703,0.009703,0.009703
11,418.144,1.6434,1.33788,1.28285,0.72089,0.57217,0.63625,0.31535,0.33293,1.61105,1.35048,1.33291,0.00967,0.00967,0.00967
12,455.531,1.63607,1.32386,1.28716,0.71343,0.58257,0.63853,0.29789,0.32721,1.6212,1.33046,1.33065,0.009637,0.009637,0.009637
13,493.013,1.62257,1.2893,1.27903,0.68299,0.60423,0.64458,0.33245,0.34103,1.59833,1.28621,1.32552,0.009604,0.009604,0.009604
14,529.937,1.62739,1.27891,1.27634,0.64728,0.41477,0.45867,0.20024,0.22751,1.78156,1.76474,1.44029,0.009571,0.009571,0.009571
15,567.525,1.6149,1.28128,1.27654,0.73077,0.56124,0.62733,0.31937,0.33066,1.63209,1.31239,1.33698,0.009538,0.009538,0.009538
16,605.594,1.61602,1.25259,1.27541,0.71653,0.55555,0.62862,0.28363,0.31993,1.67842,1.34138,1.3699,0.009505,0.009505,0.009505
17,642.901,1.5992,1.23408,1.2672,0.72874,0.58242,0.65316,0.31897,0.34078,1.6261,1.24833,1.3379,0.009472,0.009472,0.009472
18,680.124,1.59346,1.22007,1.26039,0.71341,0.5876,0.6408,0.32338,0.33614,1.60836,1.25272,1.33885,0.009439,0.009439,0.009439
19,717.599,1.58168,1.21339,1.26328,0.74066,0.55141,0.62857,0.31355,0.33061,1.59596,1.34111,1.32219,0.009406,0.009406,0.009406
20,755.572,1.57993,1.19113,1.25416,0.72778,0.63476,0.68455,0.35077,0.3628,1.60395,1.18681,1.33339,0.009373,0.009373,0.009373
21,792.873,1.57792,1.15953,1.26017,0.7099,0.52261,0.57798,0.27468,0.29646,1.71136,1.3971,1.3996,0.00934,0.00934,0.00934
22,830.206,1.57158,1.16152,1.24986,0.73991,0.62567,0.69589,0.35967,0.3705,1.59152,1.12186,1.31468,0.009307,0.009307,0.009307
23,867.821,1.56939,1.14416,1.25335,0.75994,0.60203,0.67631,0.35179,0.36161,1.60543,1.16966,1.33994,0.009274,0.009274,0.009274
24,905.012,1.5648,1.14427,1.25229,0.76022,0.6015,0.67655,0.36028,0.36732,1.56993,1.21648,1.31161,0.009241,0.009241,0.009241
25,942.463,1.55629,1.13417,1.24774,0.74607,0.59373,0.6708,0.35209,0.36077,1.59953,1.17796,1.31523,0.009208,0.009208,0.009208
26,979.808,1.55339,1.11057,1.2444,0.7509,0.60257,0.67414,0.34527,0.35855,1.58488,1.18649,1.31313,0.009175,0.009175,0.009175
27,1016.88,1.55449,1.1232,1.23698,0.75027,0.60805,0.6751,0.35367,0.3623,1.58996,1.17951,1.32355,0.009142,0.009142,0.009142
28,1054.23,1.54664,1.11415,1.23558,0.7238,0.60808,0.66541,0.342,0.355,1.62412,1.16952,1.33678,0.009109,0.009109,0.009109
29,1091.97,1.55823,1.12187,1.24525,0.75052,0.63324,0.70503,0.37653,0.3812,1.56048,1.10141,1.31094,0.009076,0.009076,0.009076
30,1129.32,1.5342,1.07675,1.2282,0.7486,0.62289,0.69115,0.35857,0.37091,1.58715,1.14813,1.32649,0.009043,0.009043,0.009043
31,1166.36,1.5413,1.08236,1.22954,0.76235,0.63205,0.70007,0.3701,0.37967,1.57386,1.09564,1.32404,0.00901,0.00901,0.00901
32,1203.67,1.54147,1.0684,1.23305,0.76725,0.63946,0.70427,0.38112,0.38298,1.56868,1.09225,1.32149,0.008977,0.008977,0.008977
