epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.6624,1.90462,3.12956,1.40929,0.7624,0.38618,0.41695,0.1733,0.20463,1.7485,2.19801,1.36925,0.00331019,0.00331019,0.00331019
2,108.227,1.77438,1.90102,1.32149,0.56678,0.38012,0.39086,0.15234,0.18505,1.88848,2.08416,1.45799,0.00662159,0.00662159,0.00662159
3,155.369,1.77608,1.74266,1.33498,0.62654,0.36729,0.39451,0.15202,0.18672,1.88445,2.07492,1.44618,0.009911,0.009911,0.009911
4,205.549,1.7654,1.66861,1.32539,0.4241,0.19563,0.18382,0.05248,0.08108,2.3299,2.70428,1.84649,0.009901,0.009901,0.009901
5,273.036,1.72978,1.59609,1.32295,0.67719,0.45978,0.52583,0.21174,0.25432,1.69583,1.88972,1.35863,0.009868,0.009868,0.009868
6,340.418,1.71279,1.50153,1.31715,0.63217,0.41556,0.45686,0.17318,0.21462,1.86303,1.71018,1.47518,0.009835,0.009835,0.009835
7,399.963,1.6977,1.47963,1.3083,0.63876,0.50747,0.54839,0.22445,0.26595,1.71907,1.54241,1.39522,0.009802,0.009802,0.009802
8,443.95,1.68204,1.40954,1.30844,0.65379,0.52782,0.54611,0.23509,0.26991,1.66308,1.87962,1.34882,0.009769,0.009769,0.009769
9,489.091,1.66924,1.39402,1.30919,0.69624,0.54854,0.59442,0.27585,0.30094,1.6887,1.43416,1.34674,0.009736,0.009736,0.009736
10,543.765,1.66848,1.36242,1.30464,0.69468,0.48962,0.55915,0.26852,0.29075,1.66436,1.54595,1.3536,0.009703,0.009703,0.009703
11,608.036,1.64646,1.32277,1.2885,0.7109,0.57135,0.62041,0.30142,0.32354,1.61413,1.35617,1.32818,0.00967,0.00967,0.00967
12,675.159,1.63455,1.31981,1.28571,0.69562,0.56346,0.61679,0.27275,0.31217,1.62678,1.43125,1.33189,0.009637,0.009637,0.009637
13,732.867,1.6294,1.28295,1.28328,0.70307,0.57384,0.62023,0.30569,0.32373,1.64087,1.35458,1.34356,0.009604,0.009604,0.009604
14,774.039,1.62843,1.27434,1.27946,0.69897,0.54445,0.6116,0.29101,0.31548,1.64125,1.37864,1.35457,0.009571,0.009571,0.009571
15,818.392,1.62441,1.27216,1.28037,0.69043,0.55774,0.60616,0.26722,0.30409,1.729,1.34333,1.3838,0.009538,0.009538,0.009538
16,876.713,1.61242,1.24052,1.27576,0.73197,0.59574,0.66052,0.30191,0.33758,1.63961,1.26896,1.3438,0.009505,0.009505,0.009505
17,946.734,1.5984,1.22536,1.2676,0.7623,0.60337,0.67427,0.35371,0.36172,1.57383,1.23252,1.31899,0.009472,0.009472,0.009472
18,1013.16,1.59244,1.20473,1.26169,0.73501,0.60241,0.66174,0.3552,0.35644,1.57479,1.18386,1.31897,0.009439,0.009439,0.009439
19,1066.39,1.58323,1.2026,1.26782,0.72829,0.58226,0.63502,0.32118,0.33495,1.60203,1.32087,1.3382,0.009406,0.009406,0.009406
20,1106.94,1.57851,1.16855,1.25738,0.73082,0.60189,0.65729,0.33631,0.34842,1.61149,1.16721,1.34949,0.009373,0.009373,0.009373
21,1152.04,1.57525,1.15927,1.25796,0.72219,0.58396,0.65673,0.32297,0.3442,1.62453,1.25722,1.34155,0.00934,0.00934,0.00934
22,1212.77,1.5727,1.15523,1.2551,0.74036,0.59978,0.6758,0.33521,0.35902,1.6103,1.21164,1.33398,0.009307,0.009307,0.009307
23,1282.52,1.5662,1.13534,1.25588,0.71035,0.54328,0.60232,0.29374,0.31505,1.67205,1.30277,1.37055,0.009274,0.009274,0.009274
24,1349.71,1.56791,1.1428,1.25326,0.73794,0.61165,0.67178,0.34063,0.35593,1.59358,1.26549,1.3255,0.009241,0.009241,0.009241
25,1400.91,1.55274,1.12184,1.24704,0.71955,0.54813,0.62423,0.32171,0.33217,1.62693,1.36179,1.33763,0.009208,0.009208,0.009208
26,1441.93,1.5529,1.11517,1.24344,0.72847,0.61767,0.67346,0.33937,0.35398,1.63473,1.13592,1.365,0.009175,0.009175,0.009175
27,1485.13,1.55352,1.10648,1.23921,0.75908,0.63179,0.69538,0.36482,0.37448,1.57814,1.11127,1.3261,0.009142,0.009142,0.009142
28,1549.92,1.54189,1.10262,1.23533,0.72259,0.53657,0.59075,0.27028,0.30142,1.75405,1.28832,1.42123,0.009109,0.009109,0.009109
29,1618.95,1.55445,1.10486,1.24829,0.75693,0.61957,0.69269,0.37103,0.37639,1.58829,1.1409,1.33589,0.009076,0.009076,0.009076
30,1685.56,1.53904,1.08512,1.23276,0.74756,0.6212,0.69058,0.3683,0.37334,1.59318,1.10305,1.33193,0.009043,0.009043,0.009043
31,1734.72,1.54653,1.0832,1.23274,0.74717,0.64292,0.70821,0.36218,0.37879,1.57103,1.07748,1.32161,0.00901,0.00901,0.00901
32,1777.57,1.54187,1.05914,1.23401,0.7546,0.64127,0.71552,0.37688,0.3874,1.55885,1.08114,1.30982,0.008977,0.008977,0.008977
33,1820.94,1.52868,1.07045,1.22793,0.75502,0.59198,0.66789,0.35196,0.36152,1.58037,1.17792,1.31273,0.008944,0.008944,0.008944
34,1884.94,1.52621,1.0602,1.22522,0.77448,0.65485,0.73183,0.40695,0.40454,1.53065,1.06551,1.27896,0.008911,0.008911,0.008911
35,1952.97,1.51699,1.04481,1.22471,0.75634,0.64143,0.70738,0.3897,0.38824,1.56421,1.08397,1.30744,0.008878,0.008878,0.008878
36,2017.88,1.51723,1.06051,1.22999,0.76019,0.66584,0.72797,0.41057,0.40316,1.53079,1.04227,1.29824,0.008845,0.008845,0.008845
37,2068.5,1.50163,1.04242,1.21953,0.73961,0.66069,0.72363,0.38917,0.39329,1.55039,1.09801,1.28836,0.008812,0.008812,0.008812
38,2111.39,1.50371,1.02599,1.22346,0.75965,0.65975,0.72415,0.3936,0.39748,1.53297,1.04119,1.28173,0.008779,0.008779,0.008779
39,2154.78,1.49529,1.02087,1.21778,0.73842,0.66055,0.71727,0.3875,0.39066,1.5578,1.08918,1.30604,0.008746,0.008746,0.008746
40,2218.29,1.4994,1.00943,1.2233,0.7528,0.64518,0.71143,0.38402,0.38542,1.56486,1.06848,1.30337,0.008713,0.008713,0.008713
41,2285.32,1.49197,1.00033,1.22334,0.78068,0.64487,0.72488,0.3904,0.3967,1.56729,1.0435,1.30899,0.00868,0.00868,0.00868
42,2353.62,1.48575,0.99698,1.21649,0.7737,0.64671,0.7128,0.38254,0.38855,1.57289,1.0541,1.32242,0.008647,0.008647,0.008647
43,2403.82,1.49141,1.00784,1.21383,0.77397,0.64002,0.71056,0.38921,0.39057,1.57156,1.06541,1.322,0.008614,0.008614,0.008614
