epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.2937,1.92273,2.99713,1.43015,0.65566,0.33549,0.33065,0.11399,0.15063,1.94004,2.36693,1.42953,0.00331019,0.00331019,0.00331019
2,76.0257,1.77701,1.90609,1.32094,0.6216,0.47288,0.50354,0.2157,0.24577,1.75029,1.82097,1.36758,0.00662159,0.00662159,0.00662159
3,113.969,1.78093,1.75486,1.33838,0.51108,0.43674,0.43939,0.1644,0.20718,1.77619,1.94602,1.38715,0.009911,0.009911,0.009911
4,151.022,1.75172,1.67324,1.31246,0.5814,0.42529,0.4379,0.16576,0.20724,1.79674,1.8115,1.40729,0.009901,0.009901,0.009901
5,188.614,1.7365,1.5806,1.31657,0.65873,0.45619,0.50022,0.20338,0.24259,1.79593,1.72953,1.43102,0.009868,0.009868,0.009868
6,226.173,1.72412,1.50205,1.31315,0.6648,0.49617,0.53291,0.20115,0.25245,1.78089,1.71903,1.41494,0.009835,0.009835,0.009835
7,263.77,1.70228,1.47546,1.30464,0.658,0.51504,0.5687,0.25498,0.28455,1.6698,1.5985,1.33268,0.009802,0.009802,0.009802
8,300.862,1.68021,1.42861,1.29316,0.62702,0.45867,0.48732,0.20375,0.2397,1.77968,1.68722,1.42427,0.009769,0.009769,0.009769
9,338.565,1.67182,1.4067,1.29536,0.66613,0.56588,0.60215,0.27643,0.30572,1.66653,1.44709,1.33253,0.009736,0.009736,0.009736
10,375.828,1.66313,1.34935,1.28975,0.6726,0.54687,0.59655,0.24917,0.29313,1.69911,1.50688,1.35097,0.009703,0.009703,0.009703
11,413.495,1.64749,1.34259,1.27594,0.74175,0.54343,0.62063,0.304,0.32313,1.60222,1.36036,1.3027,0.00967,0.00967,0.00967
12,450.697,1.63612,1.33715,1.27323,0.64701,0.54511,0.58412,0.27032,0.29579,1.66849,1.47454,1.35485,0.009637,0.009637,0.009637
13,488.114,1.62556,1.30347,1.27392,0.67586,0.53055,0.58096,0.24816,0.28722,1.78113,1.44971,1.41916,0.009604,0.009604,0.009604
14,525.061,1.63404,1.28857,1.27119,0.72126,0.57332,0.62982,0.31225,0.32972,1.61721,1.32417,1.31871,0.009571,0.009571,0.009571
15,562.297,1.61671,1.27735,1.2661,0.69234,0.59455,0.64889,0.31379,0.33918,1.61919,1.28985,1.3197,0.009538,0.009538,0.009538
16,599.595,1.61318,1.25717,1.2661,0.72041,0.50113,0.58498,0.25328,0.293,1.7034,1.40389,1.3828,0.009505,0.009505,0.009505
17,636.147,1.59779,1.23457,1.25629,0.74493,0.58214,0.65038,0.334,0.34447,1.59891,1.27553,1.31657,0.009472,0.009472,0.009472
18,673.37,1.59396,1.2157,1.2518,0.73532,0.58213,0.64934,0.32882,0.34447,1.60591,1.24816,1.3398,0.009439,0.009439,0.009439
19,710.688,1.58715,1.21548,1.258,0.73898,0.57795,0.65151,0.33519,0.34723,1.57742,1.30154,1.29566,0.009406,0.009406,0.009406
20,747.709,1.5727,1.1877,1.24071,0.73191,0.61466,0.67375,0.35258,0.35727,1.61406,1.2198,1.33275,0.009373,0.009373,0.009373
21,784.84,1.57737,1.17017,1.24979,0.72269,0.57786,0.63418,0.31455,0.334,1.63767,1.3038,1.34215,0.00934,0.00934,0.00934
22,821.432,1.57306,1.16476,1.24208,0.73464,0.59279,0.6684,0.31813,0.34987,1.62059,1.20273,1.31833,0.009307,0.009307,0.009307
23,859.003,1.57223,1.15064,1.25217,0.73238,0.60909,0.66806,0.3527,0.35789,1.58845,1.1961,1.30459,0.009274,0.009274,0.009274
24,896.031,1.57223,1.15225,1.24808,0.77115,0.60446,0.68662,0.35302,0.36896,1.58443,1.18541,1.31216,0.009241,0.009241,0.009241
25,932.844,1.557,1.1333,1.24359,0.73065,0.58794,0.65396,0.34309,0.35099,1.59825,1.19623,1.32628,0.009208,0.009208,0.009208
26,970.233,1.56219,1.12838,1.24315,0.75237,0.59579,0.67679,0.36114,0.3662,1.5965,1.16428,1.32746,0.009175,0.009175,0.009175
27,1007.08,1.55486,1.12044,1.23315,0.74465,0.63271,0.69902,0.37523,0.37969,1.56421,1.12401,1.30616,0.009142,0.009142,0.009142
28,1044.5,1.53837,1.11417,1.22363,0.75769,0.62862,0.6987,0.36072,0.37089,1.58563,1.14075,1.30882,0.009109,0.009109,0.009109
29,1082.05,1.55311,1.10669,1.23974,0.75093,0.62151,0.68469,0.36534,0.37033,1.58237,1.13406,1.31876,0.009076,0.009076,0.009076
30,1119.67,1.53594,1.08067,1.22342,0.77068,0.63064,0.70695,0.37467,0.3858,1.54081,1.09783,1.29589,0.009043,0.009043,0.009043
31,1156.58,1.53734,1.084,1.22294,0.77157,0.61746,0.6975,0.38207,0.38121,1.55838,1.13201,1.29521,0.00901,0.00901,0.00901
32,1193.59,1.54193,1.06513,1.22482,0.76838,0.6442,0.71301,0.3867,0.38891,1.55518,1.11358,1.30416,0.008977,0.008977,0.008977
33,1230.86,1.5287,1.07524,1.2209,0.75615,0.63186,0.69777,0.37095,0.3783,1.57134,1.10045,1.31155,0.008944,0.008944,0.008944
34,1267.96,1.5233,1.06458,1.21993,0.76676,0.65373,0.72461,0.37856,0.38916,1.56105,1.08758,1.29533,0.008911,0.008911,0.008911
35,1304.89,1.51774,1.04887,1.21999,0.77093,0.64466,0.72313,0.38097,0.38962,1.56778,1.06575,1.30555,0.008878,0.008878,0.008878
36,1341.83,1.52023,1.06367,1.22239,0.77689,0.60611,0.68348,0.36031,0.36854,1.57527,1.16384,1.30627,0.008845,0.008845,0.008845
37,1379.01,1.5003,1.04615,1.21391,0.7581,0.6504,0.71747,0.3884,0.38861,1.54454,1.13064,1.28842,0.008812,0.008812,0.008812
38,1416.5,1.50271,1.03493,1.21459,0.74542,0.61565,0.68641,0.37136,0.3721,1.57946,1.12384,1.30222,0.008779,0.008779,0.008779
39,1453.32,1.49512,1.01755,1.21266,0.73824,0.67475,0.72758,0.39653,0.39629,1.56311,1.04874,1.30772,0.008746,0.008746,0.008746
40,1490.61,1.50399,1.01262,1.22048,0.76573,0.66173,0.72822,0.40481,0.39815,1.55282,1.03997,1.29894,0.008713,0.008713,0.008713
41,1527.49,1.49141,1.00602,1.21616,0.7725,0.67178,0.74351,0.42118,0.41417,1.52366,1.00786,1.27537,0.00868,0.00868,0.00868
42,1564.49,1.49314,1.00215,1.21163,0.76702,0.64058,0.70412,0.36582,0.37781,1.61321,1.08736,1.32218,0.008647,0.008647,0.008647
43,1602.11,1.48904,1.01319,1.20283,0.77777,0.64622,0.72108,0.38964,0.39246,1.58568,1.03644,1.33313,0.008614,0.008614,0.008614
44,1639.09,1.47867,0.99428,1.20468,0.77792,0.66612,0.73758,0.42418,0.41356,1.52177,1.02208,1.27749,0.008581,0.008581,0.008581
45,1676.43,1.46988,0.99121,1.19925,0.78184,0.66666,0.74171,0.42041,0.41068,1.51948,1.0195,1.27842,0.008548,0.008548,0.008548
46,1713.69,1.48345,0.98196,1.20694,0.77725,0.67098,0.74295,0.42509,0.41613,1.51102,1.01222,1.2702,0.008515,0.008515,0.008515
47,1750.37,1.47416,0.97453,1.19021,0.76228,0.68594,0.74691,0.42702,0.41609,1.52703,0.98771,1.29312,0.008482,0.008482,0.008482
48,1787.54,1.46761,0.97076,1.2046,0.75883,0.66169,0.72564,0.39459,0.39792,1.54037,1.03008,1.28423,0.008449,0.008449,0.008449
49,1824.6,1.47037,0.96886,1.2064,0.7702,0.67171,0.74092,0.4289,0.41789,1.52629,0.98559,1.28939,0.008416,0.008416,0.008416
50,1861.25,1.46416,0.95092,1.19951,0.76784,0.66683,0.73461,0.40387,0.40433,1.55784,0.99393,1.30437,0.008383,0.008383,0.008383
51,1898.29,1.45614,0.95311,1.19319,0.76924,0.63672,0.70831,0.37029,0.38341,1.5859,1.07924,1.32015,0.00835,0.00835,0.00835
52,1934.76,1.44955,0.94864,1.19898,0.793,0.67772,0.75127,0.42699,0.41992,1.52354,0.97642,1.28309,0.008317,0.008317,0.008317
53,1972.23,1.45894,0.95231,1.19497,0.76782,0.69843,0.75262,0.4362,0.42372,1.52637,0.96685,1.29018,0.008284,0.008284,0.008284
54,2009.9,1.44731,0.93877,1.19533,0.78474,0.64443,0.72495,0.40704,0.39986,1.53969,1.0507,1.29227,0.008251,0.008251,0.008251
55,2047.04,1.45761,0.94979,1.18692,0.75143,0.67657,0.73718,0.40473,0.40095,1.56146,1.0191,1.31002,0.008218,0.008218,0.008218
56,2084.38,1.44662,0.92545,1.18783,0.77137,0.69542,0.75616,0.43055,0.423,1.52098,0.98411,1.29143,0.008185,0.008185,0.008185
57,2121.61,1.43142,0.92577,1.18676,0.78352,0.6714,0.75022,0.42024,0.41661,1.54747,0.97516,1.3111,0.008152,0.008152,0.008152
58,2159.17,1.431,0.92261,1.1825,0.78399,0.68396,0.75299,0.42179,0.41544,1.54632,0.95816,1.30831,0.008119,0.008119,0.008119
59,2196.09,1.43613,0.9203,1.18496,0.7784,0.69345,0.75582,0.41918,0.41851,1.51863,0.96331,1.28987,0.008086,0.008086,0.008086
60,2233.12,1.42572,0.9135,1.17886,0.78933,0.68882,0.75044,0.41675,0.41582,1.56424,0.9632,1.32159,0.008053,0.008053,0.008053
61,2270.7,1.43289,0.91789,1.18474,0.79077,0.65115,0.729,0.41964,0.4069,1.55317,1.02221,1.31958,0.00802,0.00802,0.00802
62,2307.55,1.43444,0.91363,1.17814,0.76135,0.66352,0.72941,0.39578,0.40184,1.56545,1.02272,1.29772,0.007987,0.007987,0.007987
63,2344.93,1.42473,0.90651,1.1792,0.7714,0.68578,0.74782,0.43388,0.42,1.51895,0.97647,1.27464,0.007954,0.007954,0.007954
64,2382.09,1.40501,0.89065,1.176,0.78437,0.67947,0.74771,0.41924,0.41653,1.52956,0.96504,1.29096,0.007921,0.007921,0.007921
65,2419.04,1.41614,0.89302,1.18658,0.78163,0.67666,0.74615,0.4298,0.41951,1.52307,0.96881,1.27103,0.007888,0.007888,0.007888
66,2455.84,1.40488,0.88252,1.16919,0.78744,0.68622,0.75358,0.42499,0.42031,1.52943,0.94937,1.30027,0.007855,0.007855,0.007855
