epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.7823,1.86961,2.57861,1.44114,0.63313,0.51707,0.54214,0.22601,0.26482,1.72447,1.72279,1.44383,0.00331921,0.00331921,0.00331921
2,130.345,1.72946,1.64698,1.34715,0.57903,0.44383,0.45883,0.17703,0.21761,1.7884,1.84762,1.4663,0.00663059,0.00663059,0.00663059
3,195.072,1.72922,1.55297,1.35822,0.643,0.44242,0.44904,0.14972,0.20394,1.8273,2.23857,1.45129,0.00991997,0.00991997,0.00991997
4,259.733,1.72417,1.51697,1.35521,0.60865,0.53428,0.56236,0.20849,0.26291,1.76756,1.78375,1.42864,0.009901,0.009901,0.009901
5,324.243,1.69204,1.4413,1.33323,0.70483,0.60471,0.66572,0.29588,0.33469,1.6287,1.45887,1.3581,0.009868,0.009868,0.009868
6,388.774,1.66696,1.40059,1.32664,0.67992,0.63515,0.66904,0.28579,0.3309,1.64268,1.38907,1.3743,0.009835,0.009835,0.009835
7,453.208,1.65415,1.34441,1.31328,0.68803,0.57612,0.63641,0.29852,0.32585,1.6776,1.42273,1.41169,0.009802,0.009802,0.009802
8,517.227,1.63654,1.3134,1.30495,0.71432,0.61008,0.67991,0.32679,0.35198,1.5953,1.3175,1.35463,0.009769,0.009769,0.009769
9,581.3,1.61295,1.26507,1.29417,0.73301,0.62591,0.69828,0.3444,0.36813,1.5837,1.28003,1.3299,0.009736,0.009736,0.009736
10,645.621,1.60297,1.23909,1.293,0.73188,0.61771,0.68888,0.34973,0.36184,1.56281,1.27298,1.34747,0.009703,0.009703,0.009703
11,710.458,1.58647,1.22041,1.2813,0.72567,0.57456,0.65467,0.3383,0.34751,1.60504,1.37505,1.37604,0.00967,0.00967,0.00967
12,774.696,1.58563,1.19318,1.28527,0.72821,0.65557,0.70876,0.35974,0.37618,1.56199,1.25475,1.33558,0.009637,0.009637,0.009637
13,839.008,1.58493,1.18298,1.27084,0.73857,0.62728,0.69671,0.32978,0.36143,1.652,1.21772,1.37891,0.009604,0.009604,0.009604
14,903.247,1.56682,1.16909,1.27025,0.73404,0.64907,0.72395,0.36602,0.38139,1.57942,1.17394,1.34346,0.009571,0.009571,0.009571
15,967.604,1.55979,1.15935,1.26472,0.76018,0.66189,0.73131,0.37866,0.3932,1.57222,1.12455,1.34252,0.009538,0.009538,0.009538
16,1032.28,1.55049,1.12711,1.27175,0.73032,0.6404,0.72398,0.39022,0.39542,1.5186,1.15491,1.30397,0.009505,0.009505,0.009505
17,1096.71,1.54699,1.13219,1.24894,0.73846,0.66431,0.73817,0.40472,0.40423,1.52182,1.12642,1.30472,0.009472,0.009472,0.009472
18,1161.14,1.53519,1.09665,1.25438,0.75801,0.67348,0.74557,0.40319,0.4068,1.53703,1.1078,1.31775,0.009439,0.009439,0.009439
19,1226.17,1.53272,1.09053,1.24582,0.76809,0.6692,0.74638,0.40286,0.4065,1.54074,1.1467,1.32047,0.009406,0.009406,0.009406
20,1290.46,1.53051,1.08853,1.24816,0.74639,0.67426,0.74476,0.41837,0.41124,1.52117,1.08861,1.30772,0.009373,0.009373,0.009373
21,1354.98,1.53142,1.07682,1.24945,0.74154,0.64266,0.70857,0.3767,0.38299,1.56867,1.16376,1.3333,0.00934,0.00934,0.00934
22,1419.46,1.52118,1.05466,1.24303,0.78246,0.67405,0.7635,0.42854,0.42288,1.49517,1.07125,1.29796,0.009307,0.009307,0.009307
23,1483.94,1.51594,1.0528,1.23685,0.7649,0.64208,0.71779,0.37308,0.38206,1.60917,1.14522,1.35099,0.009274,0.009274,0.009274
24,1548.67,1.50979,1.03754,1.23901,0.76603,0.65053,0.72717,0.3835,0.39266,1.56815,1.20338,1.3445,0.009241,0.009241,0.009241
25,1612.94,1.50211,1.02412,1.23825,0.77541,0.6946,0.76721,0.44114,0.42716,1.50651,1.05977,1.28909,0.009208,0.009208,0.009208
26,1677.08,1.50031,1.0127,1.24283,0.77925,0.69186,0.76931,0.43906,0.42778,1.50593,1.03516,1.30318,0.009175,0.009175,0.009175
27,1741.1,1.49947,1.01115,1.23902,0.78127,0.69751,0.76987,0.43267,0.42642,1.54611,1.01108,1.32207,0.009142,0.009142,0.009142
28,1805.75,1.49623,1.00949,1.23318,0.77594,0.70518,0.78093,0.45575,0.43901,1.50348,1.03862,1.30961,0.009109,0.009109,0.009109
29,1870.09,1.48167,0.99834,1.22958,0.78673,0.68767,0.77771,0.44015,0.4327,1.53898,0.99555,1.31613,0.009076,0.009076,0.009076
30,1934.34,1.48127,0.98859,1.22979,0.78698,0.68667,0.76793,0.44133,0.42921,1.51085,0.99832,1.30267,0.009043,0.009043,0.009043
31,1998.49,1.47958,0.98698,1.22446,0.81002,0.68589,0.78416,0.44907,0.43932,1.52467,0.96466,1.30859,0.00901,0.00901,0.00901
32,2062.35,1.48115,0.98309,1.22117,0.77529,0.72209,0.7882,0.4394,0.43949,1.5065,0.99472,1.29377,0.008977,0.008977,0.008977
33,2126.7,1.47124,0.96651,1.21845,0.77536,0.70014,0.77508,0.44469,0.43755,1.50259,1.01402,1.30284,0.008944,0.008944,0.008944
34,2191.01,1.47703,0.95912,1.22111,0.79108,0.71359,0.78929,0.47107,0.45044,1.46749,0.98229,1.28322,0.008911,0.008911,0.008911
35,2255.88,1.46126,0.96075,1.22027,0.79026,0.70531,0.78872,0.45132,0.43994,1.49713,0.96387,1.29485,0.008878,0.008878,0.008878
36,2320.34,1.46904,0.9577,1.21335,0.78372,0.72822,0.79302,0.44571,0.44342,1.50333,0.96568,1.29463,0.008845,0.008845,0.008845
37,2385.01,1.46407,0.95183,1.21922,0.77685,0.70461,0.78295,0.44243,0.43616,1.53612,0.98858,1.3255,0.008812,0.008812,0.008812
38,2449.69,1.46445,0.95313,1.21846,0.77905,0.7409,0.80351,0.48884,0.46081,1.46868,0.93755,1.28088,0.008779,0.008779,0.008779
39,2514.18,1.45636,0.94261,1.21641,0.80337,0.72089,0.79692,0.47682,0.45503,1.48277,0.95016,1.29207,0.008746,0.008746,0.008746
40,2578.9,1.45048,0.93535,1.21504,0.78342,0.71622,0.79213,0.47719,0.45359,1.48114,0.96435,1.28288,0.008713,0.008713,0.008713
41,2643.41,1.45199,0.92947,1.2147,0.81217,0.72426,0.80929,0.4833,0.46373,1.47295,0.92681,1.28662,0.00868,0.00868,0.00868
42,2707.99,1.44739,0.92618,1.21503,0.78516,0.73516,0.80212,0.48006,0.45696,1.47059,0.92822,1.28015,0.008647,0.008647,0.008647
43,2772.6,1.4385,0.90865,1.2062,0.82329,0.72335,0.81102,0.48912,0.46572,1.45999,0.92346,1.27925,0.008614,0.008614,0.008614
44,2836.86,1.43726,0.9153,1.20204,0.78273,0.6923,0.77365,0.45179,0.436,1.51756,1.01401,1.31302,0.008581,0.008581,0.008581
45,2901.25,1.43151,0.9037,1.20623,0.81432,0.72385,0.80643,0.48012,0.46129,1.49149,0.91781,1.29841,0.008548,0.008548,0.008548
46,2965.15,1.43228,0.90129,1.20341,0.80285,0.73382,0.81093,0.48107,0.46212,1.47495,0.92467,1.29,0.008515,0.008515,0.008515
47,3029.08,1.42801,0.89619,1.19978,0.81534,0.73602,0.81716,0.49643,0.47091,1.47397,0.91441,1.2886,0.008482,0.008482,0.008482
48,3093.17,1.42574,0.89882,1.19397,0.80265,0.71124,0.80083,0.47551,0.45733,1.49198,0.94875,1.29057,0.008449,0.008449,0.008449
49,3157.27,1.4251,0.87995,1.2016,0.80579,0.745,0.81288,0.50019,0.47101,1.47559,0.89283,1.29651,0.008416,0.008416,0.008416
50,3221.97,1.41633,0.87383,1.19573,0.80928,0.74847,0.82049,0.4986,0.47154,1.47542,0.89662,1.29149,0.008383,0.008383,0.008383
51,3286.2,1.41591,0.88418,1.19166,0.80424,0.72651,0.81395,0.51361,0.47662,1.45475,0.9073,1.27558,0.00835,0.00835,0.00835
52,3350.57,1.41203,0.86786,1.19311,0.80396,0.72147,0.79746,0.47175,0.45317,1.51846,0.93047,1.30959,0.008317,0.008317,0.008317
53,3415.05,1.40983,0.86531,1.18653,0.81849,0.75775,0.82896,0.52085,0.48454,1.45266,0.87282,1.27852,0.008284,0.008284,0.008284
54,3479.59,1.39761,0.85337,1.18984,0.82387,0.73826,0.82334,0.5103,0.48004,1.47012,0.88798,1.2845,0.008251,0.008251,0.008251
55,3543.76,1.40561,0.85261,1.19347,0.80918,0.75002,0.82211,0.51283,0.47915,1.46296,0.86815,1.28565,0.008218,0.008218,0.008218
56,3608.5,1.40262,0.85353,1.18635,0.81638,0.74329,0.81989,0.50001,0.47414,1.48188,0.89844,1.30129,0.008185,0.008185,0.008185
57,3673.42,1.40197,0.8551,1.18271,0.80595,0.75605,0.82184,0.50891,0.4768,1.46469,0.88243,1.28868,0.008152,0.008152,0.008152
58,3737.93,1.39536,0.84718,1.19276,0.79929,0.74944,0.81714,0.50437,0.47174,1.46717,0.88485,1.29026,0.008119,0.008119,0.008119
59,3802.55,1.39132,0.8381,1.1842,0.81781,0.7406,0.81604,0.50485,0.47181,1.47428,0.88909,1.29681,0.008086,0.008086,0.008086
60,3867.14,1.39058,0.83165,1.18524,0.8123,0.75692,0.82938,0.52852,0.49085,1.45147,0.85062,1.28095,0.008053,0.008053,0.008053
61,3931.11,1.3858,0.83629,1.18507,0.82343,0.75352,0.83193,0.52868,0.4899,1.45338,0.85355,1.28312,0.00802,0.00802,0.00802
62,3995.68,1.39055,0.84121,1.18211,0.8085,0.7581,0.83397,0.52979,0.49202,1.43906,0.84396,1.27459,0.007987,0.007987,0.007987
63,4059.61,1.3706,0.82687,1.17945,0.80914,0.75949,0.83137,0.52409,0.48549,1.47248,0.83758,1.29843,0.007954,0.007954,0.007954
64,4123.89,1.37471,0.82322,1.18228,0.80579,0.76362,0.82879,0.52325,0.48813,1.44322,0.84909,1.27735,0.007921,0.007921,0.007921
65,4187.81,1.37574,0.81904,1.1814,0.80961,0.75567,0.82636,0.51773,0.48338,1.46326,0.86436,1.28482,0.007888,0.007888,0.007888
66,4251.95,1.36668,0.81303,1.17252,0.81008,0.77692,0.8362,0.52777,0.49093,1.44961,0.83127,1.28345,0.007855,0.007855,0.007855
67,4315.96,1.37995,0.80946,1.17935,0.82502,0.75439,0.83197,0.53235,0.49201,1.44599,0.84201,1.27642,0.007822,0.007822,0.007822
68,4379.82,1.37849,0.82129,1.17666,0.81352,0.76909,0.83761,0.52503,0.49088,1.45716,0.8409,1.28715,0.007789,0.007789,0.007789
